"Watershed","period","species","mean","se","summary"
"EB","pre-treatment","NO3_vol_ueq_L",18.8,NA,"18.8 ± NA"
"EB","pre-treatment","SO4_vol_ueq_L",104.27,NA,"104.27 ± NA"
"EB","first decade","NO3_vol_ueq_L",4.867,1.56904503865674,"4.87 ± 1.57"
"EB","first decade","SO4_vol_ueq_L",95.924,2.29248007382592,"95.92 ± 2.29"
"EB","second decade","NO3_vol_ueq_L",0.845,0.176101296607,"0.84 ± 0.18"
"EB","second decade","SO4_vol_ueq_L",80.802,2.31825739151918,"80.8 ± 2.32"
"EB","third decade","NO3_vol_ueq_L",0.45,0.143211465356388,"0.45 ± 0.14"
"EB","third decade","SO4_vol_ueq_L",57.7914285714286,2.42543901629555,"57.79 ± 2.43"
"EB","recovery","NO3_vol_ueq_L",0.255,0.085,"0.26 ± 0.09"
"EB","recovery","SO4_vol_ueq_L",49.245,1.175,"49.25 ± 1.18"
"WB","pre-treatment","NO3_vol_ueq_L",19.97,NA,"19.97 ± NA"
"WB","pre-treatment","SO4_vol_ueq_L",108.79,NA,"108.79 ± NA"
"WB","first decade","NO3_vol_ueq_L",43.968,4.71803226403174,"43.97 ± 4.72"
"WB","first decade","SO4_vol_ueq_L",167.808,7.37896406460058,"167.81 ± 7.38"
"WB","second decade","NO3_vol_ueq_L",32.506,3.78214113374363,"32.51 ± 3.78"
"WB","second decade","SO4_vol_ueq_L",170.816,4.59233835377529,"170.82 ± 4.59"
"WB","third decade","NO3_vol_ueq_L",39.1028571428571,4.06438229025771,"39.1 ± 4.06"
"WB","third decade","SO4_vol_ueq_L",146.581428571429,3.28606975302849,"146.58 ± 3.29"
"WB","recovery","NO3_vol_ueq_L",5.085,2.865,"5.08 ± 2.87"
"WB","recovery","SO4_vol_ueq_L",125.9,10.73,"125.9 ± 10.73"
