"Watershed","Year","WY","Month","Day","NO3_ueq_L","SO4_ueq_L","dates"
"EB",1987,1987,4,2,23.6,84,1987-04-02
"WB",1987,1987,4,2,26.5,98,1987-04-02
"EB",1987,1987,4,3,20.7,87,1987-04-03
"WB",1987,1987,4,3,22.9,98,1987-04-03
"WB",1987,1987,4,5,21,97,1987-04-05
"EB",1987,1987,4,5,15.7,85,1987-04-05
"EB",1987,1987,4,6,15.1,87,1987-04-06
"WB",1987,1987,4,6,22.5,91,1987-04-06
"WB",1987,1987,4,7,17.3,97,1987-04-07
"EB",1987,1987,4,7,13.4,87,1987-04-07
"EB",1987,1987,4,8,15.4,89,1987-04-08
"WB",1987,1987,4,8,20.6,99,1987-04-08
"EB",1987,1987,4,9,11.5,91,1987-04-09
"WB",1987,1987,4,9,17.4,97,1987-04-09
"EB",1987,1987,4,10,10.3,91,1987-04-10
"WB",1987,1987,4,10,15.7,97,1987-04-10
"WB",1987,1987,4,10,15.9,97,1987-04-10
"EB",1987,1987,4,14,7.3,96,1987-04-14
"WB",1987,1987,4,14,13.2,97,1987-04-14
"WB",1987,1987,4,21,3.7,102,1987-04-21
"EB",1987,1987,4,21,8.1,102,1987-04-21
"EB",1987,1987,4,28,2.3,104,1987-04-28
"WB",1987,1987,4,28,6.6,101,1987-04-28
"EB",1987,1987,4,30,2.8,100,1987-04-30
"WB",1987,1987,4,30,7.2,98,1987-04-30
"EB",1987,1987,5,5,3.2,103,1987-05-05
"WB",1987,1987,5,5,6.9,101,1987-05-05
"EB",1987,1987,5,7,4.3,100,1987-05-07
"WB",1987,1987,5,7,8.9,107,1987-05-07
"EB",1987,1987,5,12,2.5,105,1987-05-12
"WB",1987,1987,5,12,6.1,103,1987-05-12
"EB",1987,1987,5,19,1.6,107,1987-05-19
"WB",1987,1987,5,19,4.9,103,1987-05-19
"EB",1987,1987,5,26,0.8,105,1987-05-26
"WB",1987,1987,5,26,3.6,101,1987-05-26
"WB",1987,1987,6,2,2.9,104,1987-06-02
"EB",1987,1987,6,2,0.4,109,1987-06-02
"EB",1987,1987,6,9,1,106,1987-06-09
"WB",1987,1987,6,9,2.9,105,1987-06-09
"WB",1987,1987,6,17,1.4,103,1987-06-17
"EB",1987,1987,6,17,0.2,106,1987-06-17
"EB",1987,1987,6,17,0.1,108,1987-06-17
"WB",1987,1987,6,23,0.4,97,1987-06-23
"EB",1987,1987,6,23,0.05,109,1987-06-23
"EB",1987,1987,6,25,0.05,105,1987-06-25
"WB",1987,1987,6,25,0.7,99,1987-06-25
"WB",1987,1987,6,30,0.9,104,1987-06-30
"WB",1987,1987,6,30,0.7,107,1987-06-30
"EB",1987,1987,6,30,0.3,101,1987-06-30
"EB",1987,1987,7,7,0.05,107,1987-07-07
"WB",1987,1987,7,7,0.5,102,1987-07-07
"WB",1987,1987,7,14,0.6,102,1987-07-14
"EB",1987,1987,7,14,0.05,109,1987-07-14
"WB",1987,1987,7,21,1,106,1987-07-21
"EB",1987,1987,7,21,0.05,111,1987-07-21
"EB",1987,1987,7,28,1,109,1987-07-28
"WB",1987,1987,7,28,0.05,101,1987-07-28
"EB",1987,1987,8,4,0.05,110,1987-08-04
"WB",1987,1987,8,4,0.05,101,1987-08-04
"EB",1987,1987,8,11,0.05,114,1987-08-11
"WB",1987,1987,8,11,0.05,103,1987-08-11
"WB",1987,1987,8,18,0.05,99,1987-08-18
"WB",1987,1987,8,25,0.05,96,1987-08-25
"WB",1987,1987,9,1,1,97,1987-09-01
"WB",1987,1987,9,8,0.05,96,1987-09-08
"WB",1987,1987,9,8,0.05,94,1987-09-08
"WB",1987,1987,9,15,0.05,102,1987-09-15
"EB",1987,1987,9,15,0.05,114,1987-09-15
"EB",1987,1987,9,22,0.05,102,1987-09-22
"WB",1987,1987,9,22,0.05,112,1987-09-22
"WB",1987,1987,9,29,0.05,108,1987-09-29
"EB",1987,1987,9,29,0.05,113,1987-09-29
"EB",1987,1987,9,29,0.05,117,1987-09-29
"EB",1987,1988,10,6,0.05,107,1987-10-06
"WB",1987,1988,10,6,0.05,119,1987-10-06
"WB",1987,1988,10,6,0.05,118,1987-10-06
"EB",1987,1988,10,13,0.05,107,1987-10-13
"WB",1987,1988,10,13,0.05,112,1987-10-13
"WB",1987,1988,10,13,1,113,1987-10-13
"EB",1987,1988,10,20,0.05,109,1987-10-20
"EB",1987,1988,10,20,0.05,110,1987-10-20
"WB",1987,1988,10,20,0.05,109,1987-10-20
"WB",1987,1988,10,20,0.05,113,1987-10-20
"EB",1987,1988,10,28,0.05,112,1987-10-28
"WB",1987,1988,10,28,0.05,110,1987-10-28
"WB",1987,1988,10,28,0.05,108,1987-10-28
"WB",1987,1988,11,4,0.05,110,1987-11-04
"WB",1987,1988,11,4,0.05,113,1987-11-04
"EB",1987,1988,11,4,0.05,107,1987-11-04
"EB",1987,1988,11,4,0.05,111,1987-11-04
"WB",1987,1988,11,10,1.1,112,1987-11-10
"EB",1987,1988,11,10,0.05,110,1987-11-10
"WB",1987,1988,11,17,1.3,106,1987-11-17
"WB",1987,1988,11,17,2.1,108,1987-11-17
"EB",1987,1988,11,17,0.7,108,1987-11-17
"EB",1987,1988,11,17,1,105,1987-11-17
"EB",1987,1988,11,23,1.1,94,1987-11-23
"WB",1987,1988,11,23,3,108,1987-11-23
"EB",1987,1988,12,1,10.2,94,1987-12-01
"WB",1987,1988,12,1,10.3,105,1987-12-01
"WB",1987,1988,12,1,6.5,104,1987-12-01
"EB",1987,1988,12,1,10.1,94,1987-12-01
"EB",1987,1988,12,8,3.1,103,1987-12-08
"WB",1987,1988,12,8,4.9,106,1987-12-08
"WB",1987,1988,12,15,6.2,108,1987-12-15
"WB",1987,1988,12,15,NA,NA,1987-12-15
"EB",1987,1988,12,15,5,105,1987-12-15
"EB",1987,1988,12,15,5,107,1987-12-15
"EB",1987,1988,12,21,5.4,105,1987-12-21
"EB",1987,1988,12,21,5.4,106,1987-12-21
"WB",1987,1988,12,21,6.2,104,1987-12-21
"WB",1987,1988,12,29,6.6,105,1987-12-29
"WB",1987,1988,12,29,6.6,105,1987-12-29
"EB",1987,1988,12,29,6,103,1987-12-29
"EB",1987,1988,12,29,6.2,107,1987-12-29
"WB",1988,1988,1,4,7.4,98,1988-01-04
"EB",1988,1988,1,5,6.1,106,1988-01-05
"EB",1988,1988,1,11,6.4,106,1988-01-11
"EB",1988,1988,1,12,6.7,107,1988-01-12
"WB",1988,1988,1,12,5.6,102,1988-01-12
"WB",1988,1988,1,12,6.5,102,1988-01-12
"EB",1988,1988,1,18,18.9,106,1988-01-18
"EB",1988,1988,1,19,18.8,106,1988-01-19
"WB",1988,1988,1,19,14.7,102,1988-01-19
"WB",1988,1988,1,26,7.6,101,1988-01-26
"EB",1988,1988,1,27,10.6,108,1988-01-27
"EB",1988,1988,1,27,10.6,107,1988-01-27
"WB",1988,1988,2,2,14.4,99,1988-02-02
"EB",1988,1988,2,2,24.5,102,1988-02-02
"WB",1988,1988,2,8,9.7,103,1988-02-08
"EB",1988,1988,2,9,12.1,105,1988-02-09
"EB",1988,1988,2,9,13,107,1988-02-09
"WB",1988,1988,2,9,9.6,103,1988-02-09
"EB",1988,1988,2,15,16.6,100,1988-02-15
"WB",1988,1988,2,16,14,100,1988-02-16
"WB",1988,1988,2,22,13,109,1988-02-22
"WB",1988,1988,2,23,14.1,109,1988-02-23
"EB",1988,1988,2,23,16.7,104,1988-02-23
"EB",1988,1988,2,23,18.6,105,1988-02-23
"EB",1988,1988,3,0,8.4,99,NA
"WB",1988,1988,3,1,9.1,107,1988-03-01
"EB",1988,1988,3,7,9.4,105,1988-03-07
"EB",1988,1988,3,8,9.7,106,1988-03-08
"WB",1988,1988,3,8,9.7,105,1988-03-08
"WB",1988,1988,3,8,9.3,105,1988-03-08
"EB",1988,1988,3,15,10.8,106,1988-03-15
"EB",1988,1988,3,15,11.6,105,1988-03-15
"EB",1988,1988,3,15,11.6,104,1988-03-15
"WB",1988,1988,3,15,9.8,106,1988-03-15
"WB",1988,1988,3,22,7.8,105,1988-03-22
"WB",1988,1988,3,22,8.4,106,1988-03-22
"EB",1988,1988,3,22,9.4,106,1988-03-22
"EB",1988,1988,3,22,9.9,108,1988-03-22
"EB",1988,1988,3,25,13.6,105,1988-03-25
"WB",1988,1988,3,25,12,102,1988-03-25
"WB",1988,1988,3,27,27,96,1988-03-27
"EB",1988,1988,3,27,24.4,83,1988-03-27
"EB",1988,1988,3,28,21.4,94,1988-03-28
"EB",1988,1988,3,28,19.3,92,1988-03-28
"WB",1988,1988,3,28,24.6,105,1988-03-28
"WB",1988,1988,3,28,27.8,103,1988-03-28
"EB",1988,1988,3,29,18.9,95,1988-03-29
"EB",1988,1988,3,29,19.4,96,1988-03-29
"WB",1988,1988,3,29,22.1,107,1988-03-29
"EB",1988,1988,4,5,9.2,101,1988-04-05
"EB",1988,1988,4,5,10,104,1988-04-05
"WB",1988,1988,4,5,17.3,110,1988-04-05
"EB",1988,1988,4,5,9.7,105,1988-04-05
"EB",1988,1988,4,5,10,102,1988-04-05
"EB",1988,1988,4,12,6.6,104,1988-04-12
"EB",1988,1988,4,12,6.2,108,1988-04-12
"EB",1988,1988,4,12,6.5,104,1988-04-12
"WB",1988,1988,4,12,12.1,103,1988-04-12
"EB",1988,1988,4,19,6.7,106,1988-04-19
"EB",1988,1988,4,19,6.7,106,1988-04-19
"EB",1988,1988,4,19,7.4,106,1988-04-19
"WB",1988,1988,4,19,10.8,114,1988-04-19
"WB",1988,1988,4,19,10.1,109,1988-04-19
"WB",1988,1988,4,26,7,107,1988-04-26
"EB",1988,1988,4,26,4.5,104,1988-04-26
"EB",1988,1988,4,26,4.1,103,1988-04-26
"EB",1988,1988,4,26,4,104,1988-04-26
"EB",1988,1988,5,3,5.1,106,1988-05-03
"EB",1988,1988,5,3,4.9,107,1988-05-03
"EB",1988,1988,5,3,4.7,106,1988-05-03
"EB",1988,1988,5,3,4.8,107,1988-05-03
"WB",1988,1988,5,3,8.2,112,1988-05-03
"EB",1988,1988,5,10,2,111,1988-05-10
"WB",1988,1988,5,10,6.2,110,1988-05-10
"EB",1988,1988,5,17,1.6,108,1988-05-17
"EB",1988,1988,5,17,1.7,104,1988-05-17
"EB",1988,1988,5,17,1.4,109,1988-05-17
"EB",1988,1988,5,17,2.1,109,1988-05-17
"WB",1988,1988,5,17,4.6,105,1988-05-17
"EB",1988,1988,5,24,0.05,108,1988-05-24
"EB",1988,1988,5,24,0.5,112,1988-05-24
"EB",1988,1988,5,24,0.3,109,1988-05-24
"WB",1988,1988,5,24,1.8,106,1988-05-24
"WB",1988,1988,5,24,1.8,103,1988-05-24
"WB",1988,1988,5,31,2,115,1988-05-31
"EB",1988,1988,5,31,0.05,114,1988-05-31
"EB",1988,1988,5,31,0.05,114,1988-05-31
"EB",1988,1988,6,7,0.05,113,1988-06-07
"EB",1988,1988,6,7,0.05,111,1988-06-07
"EB",1988,1988,6,7,0.05,113,1988-06-07
"EB",1988,1988,6,7,0.05,113,1988-06-07
"WB",1988,1988,6,7,1.4,108,1988-06-07
"EB",1988,1988,6,14,0.05,112,1988-06-14
"EB",1988,1988,6,14,0.05,114,1988-06-14
"WB",1988,1988,6,14,0.05,105,1988-06-14
"EB",1988,1988,6,21,0.3,116,1988-06-21
"EB",1988,1988,6,21,0.3,116,1988-06-21
"WB",1988,1988,6,21,0.05,107,1988-06-21
"EB",1988,1988,6,21,2.1,110,1988-06-21
"EB",1988,1988,6,28,0.05,115,1988-06-28
"EB",1988,1988,6,28,0.6,113,1988-06-28
"WB",1988,1988,6,28,0.05,103,1988-06-28
"WB",1988,1988,6,28,0.05,102,1988-06-28
"WB",1988,1988,7,5,0.05,103,1988-07-05
"WB",1988,1988,7,12,1,104,1988-07-12
"WB",1988,1988,7,12,1.1,103,1988-07-12
"WB",1988,1988,7,19,0.8,99,1988-07-19
"WB",1988,1988,7,19,0.8,99,1988-07-19
"WB",1988,1988,7,21,1.7,97,1988-07-21
"WB",1988,1988,7,21,1.4,97,1988-07-21
"WB",1988,1988,7,21,1.2,96,1988-07-21
"WB",1988,1988,7,22,0.5,92,1988-07-22
"WB",1988,1988,7,22,0.05,100,1988-07-22
"WB",1988,1988,7,22,0.05,100,1988-07-22
"WB",1988,1988,7,23,0.05,100,1988-07-23
"WB",1988,1988,7,23,0.05,99,1988-07-23
"WB",1988,1988,7,23,0.5,99,1988-07-23
"WB",1988,1988,7,24,0.6,99,1988-07-24
"WB",1988,1988,7,24,0.05,85,1988-07-24
"WB",1988,1988,7,24,0.05,102,1988-07-24
"WB",1988,1988,7,25,0.05,104,1988-07-25
"WB",1988,1988,7,25,0.05,103,1988-07-25
"WB",1988,1988,7,25,0.05,102,1988-07-25
"WB",1988,1988,7,26,0.05,102,1988-07-26
"WB",1988,1988,7,26,0.05,103,1988-07-26
"WB",1988,1988,7,26,0.05,103,1988-07-26
"WB",1988,1988,8,2,1,105,1988-08-02
"WB",1988,1988,8,2,0.8,105,1988-08-02
"WB",1988,1988,8,9,1.8,101,1988-08-09
"WB",1988,1988,8,9,1.8,100,1988-08-09
"EB",1988,1988,8,16,6.5,113,1988-08-16
"WB",1988,1988,8,16,1,96,1988-08-16
"EB",1988,1988,8,29,4.4,114,1988-08-29
"WB",1988,1988,8,29,0.6,102,1988-08-29
"EB",1988,1988,8,29,4.8,114,1988-08-29
"WB",1988,1988,8,29,0.5,101,1988-08-29
"EB",1988,1988,8,30,8.8,102,1988-08-30
"WB",1988,1988,8,30,0.3,NA,1988-08-30
"EB",1988,1988,8,30,10.1,109,1988-08-30
"WB",1988,1988,8,30,4.7,110,1988-08-30
"EB",1988,1988,8,30,6.4,115,1988-08-30
"EB",1988,1988,8,30,6.1,115,1988-08-30
"WB",1988,1988,8,30,5.8,114,1988-08-30
"EB",1988,1988,8,30,6.3,114,1988-08-30
"EB",1988,1988,8,30,3.5,115,1988-08-30
"WB",1988,1988,8,30,3,113,1988-08-30
"WB",1988,1988,8,31,0.3,112,1988-08-31
"EB",1988,1988,8,31,0.5,116,1988-08-31
"EB",1988,1988,8,31,1.3,116,1988-08-31
"EB",1988,1988,9,1,0.8,116,1988-09-01
"WB",1988,1988,9,1,0.2,112,1988-09-01
"WB",1988,1988,9,6,0.05,111,1988-09-06
"EB",1988,1988,9,6,0.05,117,1988-09-06
"WB",1988,1989,10,11,3.9,122,1988-10-11
"WB",1988,1989,10,11,4.3,122,1988-10-11
"EB",1988,1989,10,11,4.1,124,1988-10-11
"EB",1988,1989,10,11,3.5,125,1988-10-11
"EB",1988,1989,10,11,3.4,125,1988-10-11
"WB",1988,1989,10,18,0.05,114,1988-10-18
"WB",1988,1989,10,18,0.05,116,1988-10-18
"EB",1988,1989,10,18,0.05,122,1988-10-18
"EB",1988,1989,10,22,0.05,121,1988-10-22
"WB",1988,1989,10,22,0.05,119,1988-10-22
"EB",1988,1989,10,22,8.3,117,1988-10-22
"WB",1988,1989,10,22,15.7,118,1988-10-22
"EB",1988,1989,10,23,11.2,118,1988-10-23
"WB",1988,1989,10,23,21.9,115,1988-10-23
"EB",1988,1989,10,24,5.4,114,1988-10-24
"WB",1988,1989,10,24,9.4,113,1988-10-24
"EB",1988,1989,10,25,10,113,1988-10-25
"WB",1988,1989,10,25,17.3,115,1988-10-25
"EB",1988,1989,10,25,10.6,113,1988-10-25
"EB",1988,1989,10,25,10.1,113,1988-10-25
"EB",1988,1989,10,25,10.2,113,1988-10-25
"EB",1988,1989,10,25,10,112,1988-10-25
"WB",1988,1989,10,25,12.9,115,1988-10-25
"WB",1988,1989,10,25,13.2,116,1988-10-25
"WB",1988,1989,10,25,12.9,113,1988-10-25
"EB",1988,1989,10,25,10.2,114,1988-10-25
"WB",1988,1989,10,25,13.3,114,1988-10-25
"EB",1988,1989,10,26,8.1,113,1988-10-26
"WB",1988,1989,10,26,10.5,113,1988-10-26
"EB",1988,1989,11,1,2.4,118,1988-11-01
"WB",1988,1989,11,1,3.9,116,1988-11-01
"EB",1988,1989,11,1,2.2,116,1988-11-01
"WB",1988,1989,11,1,3.7,114,1988-11-01
"EB",1988,1989,11,2,7.2,104,1988-11-02
"WB",1988,1989,11,2,13.6,105,1988-11-02
"EB",1988,1989,11,2,10.5,102,1988-11-02
"WB",1988,1989,11,2,15,107,1988-11-02
"EB",1988,1989,11,4,5.8,109,1988-11-04
"WB",1988,1989,11,4,7.2,114,1988-11-04
"WB",1988,1989,11,8,4.9,111,1988-11-08
"EB",1988,1989,11,8,3.2,111,1988-11-08
"EB",1988,1989,11,8,3.3,110,1988-11-08
"EB",1988,1989,11,8,2.7,110,1988-11-08
"EB",1988,1989,11,8,2.9,110,1988-11-08
"EB",1988,1989,11,15,5.5,108,1988-11-15
"EB",1988,1989,11,15,5.1,109,1988-11-15
"WB",1988,1989,11,15,7.2,110,1988-11-15
"WB",1988,1989,11,15,7.5,112,1988-11-15
"WB",1988,1989,11,22,9.6,111,1988-11-22
"EB",1988,1989,11,22,7.6,107,1988-11-22
"EB",1988,1989,11,22,7.7,106,1988-11-22
"EB",1988,1989,11,22,7.3,107,1988-11-22
"EB",1988,1989,11,22,7.4,107,1988-11-22
"EB",1988,1989,11,29,10.1,102,1988-11-29
"EB",1988,1989,11,29,10.2,104,1988-11-29
"WB",1988,1989,11,29,12.3,110,1988-11-29
"WB",1988,1989,11,29,11.8,111,1988-11-29
"EB",1988,1989,12,6,8.7,112,1988-12-06
"EB",1988,1989,12,6,8.5,112,1988-12-06
"WB",1988,1989,12,6,11.1,110,1988-12-06
"EB",1988,1989,12,6,8,111,1988-12-06
"EB",1988,1989,12,6,7.1,105,1988-12-06
"WB",1988,1989,12,13,11.7,110,1988-12-13
"WB",1988,1989,12,13,11.8,109,1988-12-13
"EB",1988,1989,12,13,12,117,1988-12-13
"EB",1988,1989,12,13,10.1,121,1988-12-13
"WB",1988,1989,12,20,11.3,106,1988-12-20
"WB",1988,1989,12,20,11.5,106,1988-12-20
"EB",1988,1989,12,20,9.9,113,1988-12-20
"EB",1988,1989,12,20,9.7,113,1988-12-20
"EB",1988,1989,12,20,9.3,112,1988-12-20
"WB",1988,1989,12,27,12.1,104,1988-12-27
"EB",1988,1989,12,27,14.4,111,1988-12-27
"EB",1988,1989,12,27,14.4,113,1988-12-27
"EB",1988,1989,12,27,13.9,114,1988-12-27
"WB",1988,1989,12,27,12.1,105,1988-12-27
"WB",1988,1989,12,27,11.9,105,1988-12-27
"EB",1989,1989,1,3,13.8,112,1989-01-03
"WB",1989,1989,1,3,11.1,103,1989-01-03
"WB",1989,1989,1,3,11.2,104,1989-01-03
"EB",1989,1989,1,10,15.4,112,1989-01-10
"WB",1989,1989,1,10,12,105,1989-01-10
"WB",1989,1989,1,10,13.4,103,1989-01-10
"WB",1989,1989,1,17,14.1,102,1989-01-17
"WB",1989,1989,1,17,13.4,103,1989-01-17
"EB",1989,1989,1,17,17.9,111,1989-01-17
"EB",1989,1989,1,17,17.6,110,1989-01-17
"EB",1989,1989,1,24,20.2,110,1989-01-24
"WB",1989,1989,1,24,13.7,102,1989-01-24
"WB",1989,1989,1,24,13.9,104,1989-01-24
"EB",1989,1989,1,31,18.5,111,1989-01-31
"WB",1989,1989,1,31,14,101,1989-01-31
"EB",1989,1989,2,7,17.2,115,1989-02-07
"EB",1989,1989,2,7,17.3,113,1989-02-07
"WB",1989,1989,2,7,11.7,104,1989-02-07
"WB",1989,1989,2,7,11.7,103,1989-02-07
"EB",1989,1989,2,14,14.5,113,1989-02-14
"EB",1989,1989,2,14,14.8,114,1989-02-14
"WB",1989,1989,2,14,12.6,100,1989-02-14
"WB",1989,1989,2,21,12.1,103,1989-02-21
"WB",1989,1989,2,21,12.5,103,1989-02-21
"EB",1989,1989,2,21,19.4,114,1989-02-21
"EB",1989,1989,2,21,19.3,114,1989-02-21
"EB",1989,1989,2,21,19.3,113,1989-02-21
"WB",1989,1989,2,21,36.2,110,1989-02-21
"EB",1989,1989,2,21,43.6,113,1989-02-21
"WB",1989,1989,2,21,38.4,110,1989-02-21
"EB",1989,1989,2,21,43.6,98,1989-02-21
"WB",1989,1989,2,21,39,111,1989-02-21
"EB",1989,1989,2,22,42,98,1989-02-22
"WB",1989,1989,2,22,39.8,111,1989-02-22
"EB",1989,1989,2,22,41.1,99,1989-02-22
"WB",1989,1989,2,22,40.2,110,1989-02-22
"EB",1989,1989,2,22,41.9,100,1989-02-22
"WB",1989,1989,2,22,40.2,109,1989-02-22
"WB",1989,1989,2,22,40,112,1989-02-22
"EB",1989,1989,2,22,41.3,100,1989-02-22
"WB",1989,1989,2,22,37.5,111,1989-02-22
"EB",1989,1989,2,22,41.5,101,1989-02-22
"WB",1989,1989,2,22,37.2,106,1989-02-22
"EB",1989,1989,2,23,41.1,101,1989-02-23
"WB",1989,1989,2,23,32.1,92,1989-02-23
"WB",1989,1989,2,23,40.1,110,1989-02-23
"WB",1989,1989,2,23,11.7,103,1989-02-23
"WB",1989,1989,2,23,33.7,109,1989-02-23
"WB",1989,1989,2,23,31.6,110,1989-02-23
"WB",1989,1989,2,28,21.4,105,1989-02-28
"EB",1989,1989,2,28,29.8,107,1989-02-28
"EB",1989,1989,2,28,29.9,108,1989-02-28
"EB",1989,1989,3,7,23.7,109,1989-03-07
"WB",1989,1989,3,7,20.8,106,1989-03-07
"WB",1989,1989,3,7,21.1,105,1989-03-07
"WB",1989,1989,3,14,15.1,104,1989-03-14
"WB",1989,1989,3,14,15.2,104,1989-03-14
"EB",1989,1989,3,14,19.8,112,1989-03-14
"EB",1989,1989,3,14,19.8,112,1989-03-14
"WB",1989,1989,3,21,17.9,102,1989-03-21
"EB",1989,1989,3,21,26,108,1989-03-21
"WB",1989,1989,3,21,18.5,104,1989-03-21
"WB",1989,1989,3,27,20.1,103,1989-03-27
"EB",1989,1989,3,28,23.3,96,1989-03-28
"WB",1989,1989,3,28,22,103,1989-03-28
"WB",1989,1989,3,28,25,109,1989-03-28
"WB",1989,1989,3,29,29,108,1989-03-29
"WB",1989,1989,3,29,30,105,1989-03-29
"WB",1989,1989,3,29,30.7,107,1989-03-29
"EB",1989,1989,4,4,28.6,101,1989-04-04
"WB",1989,1989,4,4,24.6,105,1989-04-04
"EB",1989,1989,4,4,28.3,104,1989-04-04
"EB",1989,1989,4,4,28.1,100,1989-04-04
"WB",1989,1989,4,4,25.4,110,1989-04-04
"WB",1989,1989,4,4,25.5,108,1989-04-04
"EB",1989,1989,4,4,28.5,100,1989-04-04
"WB",1989,1989,4,4,23.8,104,1989-04-04
"EB",1989,1989,4,4,29.2,100,1989-04-04
"WB",1989,1989,4,4,25.2,105,1989-04-04
"EB",1989,1989,4,4,30.2,101,1989-04-04
"WB",1989,1989,4,4,26.9,107,1989-04-04
"EB",1989,1989,4,5,30.1,101,1989-04-05
"WB",1989,1989,4,5,27.7,108,1989-04-05
"EB",1989,1989,4,5,29.9,98,1989-04-05
"WB",1989,1989,4,5,27.5,111,1989-04-05
"EB",1989,1989,4,5,29.5,98,1989-04-05
"WB",1989,1989,4,5,26.9,112,1989-04-05
"EB",1989,1989,4,5,27,92,1989-04-05
"WB",1989,1989,4,5,26.4,109,1989-04-05
"EB",1989,1989,4,5,29.3,95,1989-04-05
"WB",1989,1989,4,5,27.7,111,1989-04-05
"EB",1989,1989,4,5,29.8,96,1989-04-05
"WB",1989,1989,4,5,28.7,111,1989-04-05
"EB",1989,1989,4,6,30.4,97,1989-04-06
"WB",1989,1989,4,6,28.8,111,1989-04-06
"EB",1989,1989,4,6,29.9,98,1989-04-06
"WB",1989,1989,4,6,29,110,1989-04-06
"EB",1989,1989,4,6,29.7,102,1989-04-06
"WB",1989,1989,4,6,26.9,105,1989-04-06
"EB",1989,1989,4,6,29.7,99,1989-04-06
"WB",1989,1989,4,6,28.7,106,1989-04-06
"EB",1989,1989,4,6,26.8,95,1989-04-06
"WB",1989,1989,4,6,28.1,105,1989-04-06
"EB",1989,1989,4,6,28,93,1989-04-06
"WB",1989,1989,4,6,27.5,107,1989-04-06
"EB",1989,1989,4,7,28.8,95,1989-04-07
"WB",1989,1989,4,7,29.8,108,1989-04-07
"EB",1989,1989,4,7,29.2,98,1989-04-07
"WB",1989,1989,4,7,31.5,108,1989-04-07
"EB",1989,1989,4,8,32.8,102,1989-04-08
"WB",1989,1989,4,8,29.6,104,1989-04-08
"EB",1989,1989,4,11,28.7,100,1989-04-11
"EB",1989,1989,4,11,28.1,102,1989-04-11
"WB",1989,1989,4,11,26,103,1989-04-11
"EB",1989,1989,4,15,26,102,1989-04-15
"EB",1989,1989,4,16,24.7,102,1989-04-16
"EB",1989,1989,4,17,21.8,101,1989-04-17
"EB",1989,1989,4,18,27.7,102,1989-04-18
"WB",1989,1989,4,18,26,108,1989-04-18
"EB",1989,1989,4,18,27.7,102,1989-04-18
"EB",1989,1989,4,18,27.3,100,1989-04-18
"WB",1989,1989,4,18,27.1,108,1989-04-18
"WB",1989,1989,4,18,27.3,110,1989-04-18
"EB",1989,1989,4,19,25.8,98,1989-04-19
"WB",1989,1989,4,19,23.6,104,1989-04-19
"EB",1989,1989,4,20,25.4,101,1989-04-20
"WB",1989,1989,4,20,23.5,105,1989-04-20
"EB",1989,1989,4,21,25,102,1989-04-21
"WB",1989,1989,4,21,23.7,105,1989-04-21
"EB",1989,1989,4,22,24.7,99,1989-04-22
"WB",1989,1989,4,22,24.5,105,1989-04-22
"EB",1989,1989,4,23,22.9,101,1989-04-23
"EB",1989,1989,4,25,23.3,106,1989-04-25
"WB",1989,1989,4,25,21.3,104,1989-04-25
"EB",1989,1989,4,26,23.7,105,1989-04-26
"WB",1989,1989,4,26,23.1,108,1989-04-26
"EB",1989,1989,4,27,25.8,104,1989-04-27
