"Watershed","Year","WY","Month","Day","NO3_ueq_L","SO4_ueq_L","dates"
"EB",1986,1987,10,1,0.05,115,1986-10-01
"WB",1986,1987,10,1,0.05,110,1986-10-01
"EB",1986,1987,11,13,2,112,1986-11-13
"EB",1986,1987,11,13,0.05,117,1986-11-13
"WB",1986,1987,11,13,3,107,1986-11-13
"EB",1986,1987,11,17,2,112,1986-11-17
"WB",1986,1987,11,17,4,107,1986-11-17
"EB",1986,1987,11,25,18,105,1986-11-25
"WB",1986,1987,11,25,22,113,1986-11-25
"EB",1986,1987,12,2,11,108,1986-12-02
"WB",1986,1987,12,2,12,110,1986-12-02
"EB",1987,1987,1,14,8,108,1987-01-14
"WB",1987,1987,1,14,8,102,1987-01-14
"EB",1987,1987,1,21,8,109,1987-01-21
"WB",1987,1987,1,21,8,102,1987-01-21
"EB",1987,1987,2,3,8.7,109,1987-02-03
"EB",1987,1987,2,3,8.5,106,1987-02-03
"WB",1987,1987,2,3,6.9,98,1987-02-03
"EB",1987,1987,2,17,7.6,106,1987-02-17
"WB",1987,1987,2,17,8.7,98,1987-02-17
"WB",1987,1987,2,17,8.7,96,1987-02-17
"EB",1987,1987,3,4,5.4,107,1987-03-04
"WB",1987,1987,3,4,7.5,95,1987-03-04
"EB",1987,1987,3,10,5.3,102,1987-03-10
"WB",1987,1987,3,10,7.4,93,1987-03-10
"EB",1987,1987,3,18,4.3,108,1987-03-18
"EB",1987,1987,3,18,5.1,101,1987-03-18
"WB",1987,1987,3,18,6.2,95,1987-03-18
"EB",1987,1987,3,23,10.5,106,1987-03-23
"WB",1987,1987,3,23,17.2,95,1987-03-23
"EB",1987,1987,3,25,13.2,99,1987-03-25
"WB",1987,1987,3,25,13.9,86,1987-03-25
"EB",1987,1987,3,27,24.4,97,1987-03-27
"WB",1987,1987,3,27,24.9,99,1987-03-27
"EB",1987,1987,3,29,21.5,96,1987-03-29
"WB",1987,1987,3,29,21.2,100,1987-03-29
"EB",1987,1987,4,1,25.9,81,1987-04-01
"WB",1987,1987,4,1,28,97,1987-04-01
