"","period: pre-treatment (N = 2)","period: first decade (N = 20)","period: second decade (N = 20)","period: third decade (N = 14)","period: recovery (N = 4)"
"NO3, kg/ha/yr","199.40 $\pm$ 23.48","233.49 $\pm$ 217.71","176.87 $\pm$ 204.64","212.66 $\pm$ 222.38","31.18 $\pm$ 42.64"
"SO4, kg/ha/yr","1,095.50 $\pm$ 115.26","1,263.30 $\pm$ 509.89","1,304.75 $\pm$ 611.85","1,131.14 $\pm$ 560.14","1,013.00 $\pm$ 540.54"
