"","Watershed","Year","WY","Month","Day","NO3 (ueq/L)","SO4 (ueq/L)","DOC (mg/L)","Discharge (L/sec)","Specific Conductance (us/cm)","ANC"
"82","EB",1987,1987,6,23,0.05,109,1.4,NA,"26.0","38.9"
"83","EB",1987,1987,6,25,0.05,105,1.1,NA,"30.2","45.4"
"84","WB",1987,1987,6,25,0.7,99,1,NA,"28.3","32.9"
"85","WB",1987,1987,6,30,0.9,104,NA,NA,"26.1","17.5"
"86","WB",1987,1987,6,30,0.7,107,1.5,NA,"25.5","19.1"
"87","EB",1987,1987,6,30,0.3,101,1.7,NA,"24.0","23.8"
"88","EB",1987,1987,7,7,0.05,107,1.4,NA,"26.9","27.8"
"89","WB",1987,1987,7,7,0.5,102,1.3,NA,"24.9","26.9"
"90","WB",1987,1987,7,14,0.6,102,1.1,NA,"26.4","29.3"
"91","EB",1987,1987,7,14,0.05,109,1.3,NA,"27.9","35.9"
"92","WB",1987,1987,7,21,1,106,1.2,NA,"27.6","35.2"
"93","EB",1987,1987,7,21,0.05,111,1.5,NA,"29.4","46.6"
"94","EB",1987,1987,7,28,1,109,1.3,NA,"27.1","50.4"
"95","WB",1987,1987,7,28,0.05,101,1.1,NA,"26.3","36.6"
"96","EB",1987,1987,8,4,0.05,110,1.7,NA,"26.8","39.6"
"97","WB",1987,1987,8,4,0.05,101,1.3,NA,"25.1","33.8"
"98","EB",1987,1987,8,11,0.05,114,1.3,NA,"31.0","64.6"
"99","WB",1987,1987,8,11,0.05,103,1.3,NA,"28.2","40.9"
"100","WB",1987,1987,8,18,0.05,99,1.2,NA,"27.9","56.8"
"101","WB",1987,1987,8,25,0.05,96,2.3,NA,"25.1","54.5"
"102","WB",1987,1987,9,1,1,97,1.7,NA,"31.6","65.9"
"103","WB",1987,1987,9,8,0.05,96,NA,NA,"27.6","71.4"
"104","WB",1987,1987,9,8,0.05,94,1.4,NA,"28.6","70.3"
"105","WB",1987,1987,9,15,0.05,102,1.7,NA,"28.4","44.1"
"106","EB",1987,1987,9,15,0.05,114,1.8,NA,"31.1","76.8"
"107","EB",1987,1987,9,22,0.05,102,2.9,NA,"17.6","6.5"
"108","WB",1987,1987,9,22,0.05,112,2.6,NA,"20.7","12.9"
"109","WB",1987,1987,9,29,0.05,108,1.9,NA,"25.6","24.9"
"110","EB",1987,1987,9,29,0.05,113,NA,NA,"26.2","23.9"
"111","EB",1987,1987,9,29,0.05,117,2.1,NA,"25.3","24.2"
"112","EB",1987,1988,10,6,0.05,107,2,NA,"26.1","13.8"
"113","WB",1987,1988,10,6,0.05,119,NA,NA,"27.6","23.5"
"114","WB",1987,1988,10,6,0.05,118,1.8,NA,"27.5","22.4"
"115","EB",1987,1988,10,13,0.05,107,1.8,NA,"25.5","14.2"
"116","WB",1987,1988,10,13,0.05,112,NA,NA,"25.5","18.7"
"117","WB",1987,1988,10,13,1,113,1.5,NA,"25.5","18.6"
"118","EB",1987,1988,10,20,0.05,109,2.4,NA,"25.7","22.6"
"119","EB",1987,1988,10,20,0.05,110,NA,NA,"25.5",NA
"120","WB",1987,1988,10,20,0.05,109,NA,NA,"26.6","23.8"
"121","WB",1987,1988,10,20,0.05,113,1.5,NA,"26.5","22.2"
"122","EB",1987,1988,10,28,0.05,112,2,NA,"25.3","19.9"
"123","WB",1987,1988,10,28,0.05,110,1.6,NA,"26.0","23.9"
"124","WB",1987,1988,10,28,0.05,108,NA,NA,"26.6","23.9"
"125","WB",1987,1988,11,4,0.05,110,1.3,NA,"27.4","19.5"
"126","WB",1987,1988,11,4,0.05,113,NA,NA,"26.6","23.0"
"127","EB",1987,1988,11,4,0.05,107,1.5,NA,"25.9","14.0"
"128","EB",1987,1988,11,4,0.05,111,NA,NA,"26.2","11.7"
"129","WB",1987,1988,11,10,1.1,112,1.3,NA,"26.8","23.9"
"130","EB",1987,1988,11,10,0.05,110,1.4,NA,"26.0","18.7"
"131","WB",1987,1988,11,17,1.3,106,NA,NA,"25.6","22.4"
"132","WB",1987,1988,11,17,2.1,108,1.1,NA,"25.8","22.2"
"133","EB",1987,1988,11,17,0.7,108,1.4,NA,"25.6","17.0"
"134","EB",1987,1988,11,17,1,105,NA,NA,"25.5","16.5"
"135","EB",1987,1988,11,23,1.1,94,1.4,NA,"25.8","16.2"
"136","WB",1987,1988,11,23,3,108,1.4,NA,"26.5","17.8"
"137","EB",1987,1988,12,1,10.2,94,3.3,NA,"25.8","-1.0"
"138","WB",1987,1988,12,1,10.3,105,NA,NA,"27.0","2.2"
"139","WB",1987,1988,12,1,6.5,104,2.8,NA,"26.9","2.9"
"140","EB",1987,1988,12,1,10.1,94,NA,NA,"25.8","-0.9"
"141","EB",1987,1988,12,8,3.1,103,1.7,NA,"25.3","11.9"
"142","WB",1987,1988,12,8,4.9,106,1.5,NA,"26.2","13.4"
"143","WB",1987,1988,12,15,6.2,108,1.3,NA,"26.4","15.7"
"144","WB",1987,1988,12,15,NA,NA,NA,NA,"26.8","15.6"
"145","EB",1987,1988,12,15,5,105,NA,NA,"26.0","12.6"
"146","EB",1987,1988,12,15,5,107,1.3,NA,"26.0","11.7"
"147","EB",1987,1988,12,21,5.4,105,1.3,NA,"23.8","14.9"
"148","EB",1987,1988,12,21,5.4,106,NA,NA,"24.8","14.9"
"149","WB",1987,1988,12,21,6.2,104,1.1,NA,"24.9","15.6"
"150","WB",1987,1988,12,29,6.6,105,1.3,NA,"27.0","17.5"
"151","WB",1987,1988,12,29,6.6,105,NA,NA,"26.8","17.4"
"152","EB",1987,1988,12,29,6,103,NA,NA,"26.8","16.0"
"153","EB",1987,1988,12,29,6.2,107,1.4,NA,"26.1","15.6"
"154","WB",1988,1988,1,4,7.4,98,1,NA,"25.3","19.8"
"155","EB",1988,1988,1,5,6.1,106,1.4,NA,"26.5","20.4"
"156","EB",1988,1988,1,11,6.4,106,2,NA,"28.4","27.1"
"157","EB",1988,1988,1,12,6.7,107,NA,NA,"28.9","27.8"
"158","WB",1988,1988,1,12,5.6,102,1.1,NA,"27.1","20.4"
