"","Watershed","Year","WY","Month","Day","NO3 (ueq/L)","SO4 (ueq/L)","DOC (mg/L)","Discharge (L/sec)","Specific Conductance (us/cm)","ANC"
"1423","WB",1991,1991,5,3,38.1,130,1.1,3.001,"28.3","6.2"
"1424","WB",1991,1991,5,5,38.9,131,1.3,3.142,"29.0","5.7"
"1425","WB",1991,1991,5,6,36.4,129,1.3,2.831,"28.4","5.9"
"1426","WB",1991,1991,5,6,38.6,123,2.1,6.37,"27.1","7.0"
"1427","WB",1991,1991,5,7,55.6,143,1.7,21.855,"31.7","0.6"
"1428","EB",1991,1991,5,7,7.8,101,2.1,15.316,"20.6","3.9"
"1429","EB",1991,1991,5,7,7.8,102,2.1,15.316,"20.6","1.2"
"1430","WB",1991,1991,5,7,57.4,146,1.5,17.382,"32.9","-1.6"
"1431","WB",1991,1991,5,7,57.5,145,1.5,17.382,"32.7","-1.1"
"1432","WB",1991,1991,5,7,56.3,145,1.5,16.222,"32.5","0.8"
"1433","EB",1991,1991,5,10,5.2,107,1.8,3.142,"21.1","9.2"
"1434","WB",1991,1991,5,10,43,137,1.3,3.595,"29.8","3.4"
"1435","EB",1991,1991,5,12,3.5,108,2,2.236,"21.7","6.5"
"1436","WB",1991,1991,5,12,35.8,132,1.4,3.142,"28.8","4.1"
"1437","EB",1991,1991,5,14,2.4,111,1.6,1.699,"21.6","7.7"
"1438","WB",1991,1991,5,14,31.3,132,1.3,2.52,"28.0","5.0"
"1439","WB",1991,1991,5,14,31.3,131,1.4,2.52,"28.1","5.6"
"1440","EB",1991,1991,5,17,3.8,111,2.1,1.415,"22.1","8.7"
"1441","WB",1991,1991,5,17,25,129,1.9,2.208,"27.6","7.1"
"1442","EB",1991,1991,5,19,1.5,110,1.9,1.699,"21.3","5.8"
"1443","WB",1991,1991,5,19,26,128,1.4,2.236,"27.4","6.3"
"1444","EB",1991,1991,5,21,0.9,110,2.1,1.076,"21.6","8.6"
"1445","WB",1991,1991,5,21,20,128,1.8,1.5,"26.4","9.0"
"1446","WB",1991,1991,5,21,20.2,128,1.8,1.5,"26.4","8.6"
"1447","EB",1991,1991,5,24,0.05,105,2.1,0.623,"22.1","10.2"
"1448","WB",1991,1991,5,24,13.2,123,1.7,0.906,"26.9","8.8"
"1449","WB",1991,1991,5,26,9.8,121,1.7,0.764,"25.9","9.2"
"1450","EB",1991,1991,5,28,0.5,106,2,2.831,"21.2","7.5"
"1451","EB",1991,1991,5,28,0.4,106,2.1,2.831,"21.2","6.2"
"1452","WB",1991,1991,5,28,20.9,128,1.7,2.831,"27.0","7.3"
"1453","WB",1991,1991,5,28,20.7,126,1.7,2.831,"26.9","7.5"
"1454","EB",1991,1991,5,31,0.1,106,1.8,1.274,"21.9","9.9"
"1455","EB",1991,1991,6,2,0.1,109,1.9,0.764,"22.4","10.1"
"1456","WB",1991,1991,6,4,7,123,1.4,0.679,"25.1","11.9"
"1457","EB",1991,1991,6,4,0.05,108,1.5,0.623,"22.1","11.0"
"1458","EB",1991,1991,6,4,0.1,109,1.5,0.623,"22.0","11.8"
"1459","EB",1991,1991,6,7,0.8,109,1.8,0.311,"23.4","18.9"
"1460","WB",1991,1991,6,7,1.7,115,1.4,0.623,"25.0","16.7"
"1461","EB",1991,1991,6,9,0.8,107,1.8,0.142,"23.6","18.8"
"1462","WB",1991,1991,6,9,1.8,113,1.5,0.51,"24.6","17.0"
"1463","EB",1991,1991,6,11,0.7,108,1.6,0.113,"24.0","19.8"
"1464","WB",1991,1991,6,11,2.2,118,1.4,0.396,"25.1","13.2"
"1465","WB",1991,1991,6,11,2.4,118,1.5,0.396,"25.2","12.7"
"1466","EB",1991,1991,6,18,0.05,110,1.9,0.51,"23.4","15.0"
"1467","WB",1991,1991,6,18,4,120,1.6,0.764,"25.1","16.0"
"1468","WB",1991,1991,6,18,4.2,119,1.5,0.764,"25.1","15.1"
"1469","EB",1991,1991,6,21,0.3,103,1.9,0.057,"23.9","20.4"
"1470","WB",1991,1991,6,21,0.7,118,1.5,0.311,"24.9","17.4"
"1471","EB",1991,1991,6,23,0.1,102,1.8,0.028,"24.1","23.8"
"1472","WB",1991,1991,6,23,0.05,116,1.5,0.311,"24.9","16.9"
"1473","WB",1991,1991,6,25,0.05,116,1.7,0.311,"25.6","16.5"
"1474","WB",1991,1991,6,25,0.05,115,1.7,0.311,"26.5","17.7"
"1475","WB",1991,1991,6,27,0.2,116,1.4,0.17,"25.3","23.7"
"1476","WB",1991,1991,6,29,0.2,114,1.4,0.226,"25.0","21.7"
"1477","EB",1991,1991,7,14,0.05,104,1.7,0.028,"26.4","42.7"
"1478","WB",1991,1991,7,14,3.6,111,1.6,0.311,"25.8","21.9"
"1479","WB",1991,1991,8,12,0.05,140,1.7,0.311,"28.4","21.7"
"1480","EB",1991,1991,8,19,2.2,93,2.3,0.028,"23.8","41.4"
"1481","WB",1991,1991,8,19,0.05,103,2.1,0.311,"23.3","24.0"
"1482","WB",1991,1991,8,20,10.6,140,1.8,2.067,"29.4","10.0"
"1483","WB",1991,1991,8,20,10.6,140,1.7,2.067,"29.4","9.8"
"1484","EB",1991,1991,8,20,0.05,103,2.1,0.906,"23.5","13.0"
"1485","EB",1991,1991,8,20,0.05,101,2,0.906,"23.4","11.6"
"1486","EB",1991,1991,8,23,0.05,103,1.9,0.396,"23.5","15.3"
"1487","WB",1991,1991,8,23,0.05,136,1.6,0.623,"28.3","12.9"
"1488","EB",1991,1991,8,25,0.05,105,1.6,0.057,"24.7","22.2"
"1489","WB",1991,1991,8,25,0.05,128,1.8,0.311,"27.8","16.1"
"1490","WB",1991,1991,8,27,0.05,132,1.6,0.396,"27.9","22.1"
"1491","WB",1991,1991,8,27,0.05,132,1.6,0.396,"28.1","20.8"
"1492","EB",1991,1991,8,27,0.05,109,1.7,0.113,"26.3","31.6"
"1493","EB",1991,1991,9,20,0.05,115,1.4,0.113,"26.2","22.0"
"1494","WB",1991,1991,9,20,0.05,123,2.1,0.623,"27.0","17.0"
"1495","EB",1991,1991,9,25,0.05,97,2.9,2.18,"21.9","20.4"
"1496","WB",1991,1991,9,25,4,128,3.3,5.322,"28.1","15.4"
"1497","EB",1991,1991,9,25,0.2,90,3.9,11.267,"20.6","11.6"
"1498","WB",1991,1991,9,25,16,137,4.1,15.004,"29.1","10.9"
"1499","EB",1991,1991,9,25,0.4,96,3.8,41.899,"22.0","2.4"
"1500","WB",1991,1991,9,25,20.4,154,3.3,48.693,"30.8","6.9"
"1501","EB",1991,1991,9,25,0.05,101,3.3,33.689,"22.2","-1.6"
"1502","WB",1991,1991,9,25,21.4,159,2.8,38.785,"31.4","5.2"
"1503","EB",1991,1991,9,25,0.05,103,2.9,24.205,"21.9","-2.0"
"1504","EB",1991,1991,9,26,0.05,103,2.6,13.844,"21.6","-3.8"
"1505","WB",1991,1991,9,26,14,164,2.3,15.457,"31.3","4.3"
"1506","EB",1991,1991,9,26,0.05,102,2.6,12.428,"21.8","-1.4"
"1507","WB",1991,1991,9,26,12.5,161,2.2,13.419,"30.8","5.6"
"1508","EB",1991,1991,9,26,0.05,99,2.7,13.306,"20.8","-2.4"
"1509","WB",1991,1991,9,26,11.3,160,2.4,14.042,"30.5","5.2"
"1510","EB",1991,1991,9,26,0.05,99,3,24.856,"20.8","-4.0"
"1511","WB",1991,1991,9,26,11.2,160,2.7,26.357,"30.8","4.5"
"1512","EB",1991,1991,9,26,0.05,101,3,30.292,"20.7","-6.5"
"1513","WB",1991,1991,9,26,11.9,163,2.4,30.575,"31.5","1.9"
"1514","EB",1991,1991,9,26,0.05,98,2.9,29.442,"20.6","-7.8"
"1515","WB",1991,1991,9,26,11,170,2.3,30.575,"31.7","3.0"
"1516","EB",1991,1991,9,26,0.05,100,2.8,20.355,"20.5","-6.0"
"1517","WB",1991,1991,9,26,18.7,164,2.4,21.969,"32.0","4.5"
"1518","WB",1991,1991,9,26,9.3,170,2.3,21.969,"31.4","2.6"
"1519","EB",1991,1991,9,27,0.05,100,2.6,13.419,"20.4","-5.7"
"1520","WB",1991,1991,9,27,7.2,166,2,15.457,"31.1","2.0"
"1521","EB",1991,1991,9,27,0.05,103,2.3,8.606,"21.1","1.2"
"1522","WB",1991,1991,9,27,5.8,171,1.9,10.163,"31.0","-5.2"
"1523","EB",1991,1991,9,29,0.05,106,2,1.699,"21.6","1.6"
"1524","WB",1991,1991,9,29,1.2,161,1.9,2.236,"29.1","0.1"
"1525","WB",1991,1992,10,1,1,155,1.6,1.472,"28.3","1.1"
"1526","WB",1991,1992,10,1,0.7,156,1.5,1.472,"28.5","2.2"
"1527","EB",1991,1992,10,1,0.05,108,1.8,1.727,"21.9","3.2"
"1528","EB",1991,1992,10,1,0.05,109,1.8,1.727,"21.9","2.3"
"1529","EB",1991,1992,10,6,0.05,109,2,1.302,"23.0","2.9"
"1530","WB",1991,1992,10,6,0.05,157,2,1.274,"29.3","6.9"
"1531","EB",1991,1992,10,6,0.05,106,2.6,3.652,"23.9","0.3"
"1532","WB",1991,1992,10,6,2.3,163,2.7,3.567,"31.8","5.9"
"1533","EB",1991,1992,10,7,0.05,104,3,16.193,"23.6","-0.6"
"1534","WB",1991,1992,10,7,8.4,174,2.7,12.768,"33.7","-0.2"
"1535","EB",1991,1992,10,7,0.05,102,3.2,31.707,"23.8","-2.5"
"1536","WB",1991,1992,10,7,11.1,177,2.9,32.273,"34.4","-3.1"
"1537","EB",1991,1992,10,7,0.05,101,3.1,41.333,"24.1","-0.1"
"1538","WB",1991,1992,10,7,12.3,179,2.6,37.369,"34.9","-6.0"
"1539","EB",1991,1992,10,7,0.05,100,3,38.218,"24.1","-2.6"
"1540","WB",1991,1992,10,7,12.9,183,2.6,31.99,"35.3","-7.0"
"1541","EB",1991,1992,10,7,0.05,101,2.7,24.8,"23.7","-2.5"
"1542","WB",1991,1992,10,7,11.9,182,2.3,22.959,"35.1","-6.9"
"1543","EB",1991,1992,10,7,0.05,101,2.7,15.684,"23.1","-2.2"
"1544","WB",1991,1992,10,7,10.9,179,2.2,14.466,"34.4","-6.5"
"1545","EB",1991,1992,10,7,0.05,101,2.5,11.437,"23.0","-2.2"
"1546","WB",1991,1992,10,7,9.8,178,2.1,10.361,"33.7","-5.2"
"1547","EB",1991,1992,10,8,0.05,101,2.6,8.974,"22.9","-1.6"
"1548","WB",1991,1992,10,8,8.7,174,2,7.729,"33.1","-3.9"
"1549","EB",1991,1992,10,8,0.05,108,2,7.219,"22.5","-0.6"
"1550","WB",1991,1992,10,8,8.4,179,1.7,6.681,"32.9","-2.5"
"1551","WB",1991,1992,10,8,8.2,178,1.7,6.681,"32.9","-2.1"
"1552","EB",1991,1992,10,11,0.05,109,2.2,3.142,"23.1","1.8"
"1553","WB",1991,1992,10,11,3.3,169,2,2.831,"30.6","2.6"
"1554","EB",1991,1992,10,13,0.05,107,2.1,4.275,"23.1","0.3"
"1555","WB",1991,1992,10,13,5.2,171,1.7,3.878,"31.8","1.2"
"1556","WB",1991,1992,10,15,4.5,166,1.6,2.236,"30.3","0.3"
"1557","WB",1991,1992,10,15,4,165,1.5,2.236,"30.5","0.3"
"1558","EB",1991,1992,10,15,0.05,110,1.9,2.236,"22.5","-0.1"
"1559","EB",1991,1992,10,16,0.05,108,1.7,3.369,"22.8","3.1"
"1560","WB",1991,1992,10,16,4.4,165,1.7,2.888,"30.3","2.9"
"1561","EB",1991,1992,10,16,0.05,102,2.5,8.125,"23.7","0.9"
"1562","WB",1991,1992,10,16,6.2,161,2.2,7.191,"31.2","2.4"
"1563","EB",1991,1992,10,16,0.05,99,2.9,37.652,"24.2","-2.6"
"1564","WB",1991,1992,10,16,11.5,169,2.3,30.009,"33.5","-3.1"
"1565","EB",1991,1992,10,16,0.2,99,2.6,33.406,"24.1","-1.2"
"1566","WB",1991,1992,10,16,14.6,173,2,26.894,"34.3","-4.1"
"1567","EB",1991,1992,10,17,0.05,101,2.3,16.448,"23.5","-1.0"
"1568","WB",1991,1992,10,17,13.5,175,1.9,15.542,"34.2","-3.7"
"1569","EB",1991,1992,10,17,0.05,101,2.1,7.361,"23.1","0.2"
"1570","WB",1991,1992,10,17,9.9,170,1.7,7.162,"32.9","-1.4"
"1571","EB",1991,1992,10,22,0.05,107,1.9,2.831,"23.1","0.8"
"1572","WB",1991,1992,10,22,7.8,159,1.5,2.52,"30.5","-1.1"
"1573","WB",1991,1992,10,22,8,159,1.5,2.52,"30.2","0.5"
"1574","EB",1991,1992,10,25,0.05,108,1.8,1.699,"23.5","1.2"
"1575","WB",1991,1992,10,25,7.9,154,1.8,1.472,"30.0","0.4"
"1576","EB",1991,1992,10,27,0.05,109,1.7,1.699,"23.5","0.5"
"1577","WB",1991,1992,10,27,8.2,151,1.5,1.472,"29.5","0.8"
"1578","EB",1991,1992,10,29,0.05,107,1.7,3.51,"24.1","0.7"
"1579","WB",1991,1992,10,29,11.3,157,1.3,2.831,"31.2","0.3"
"1580","WB",1991,1992,10,29,11.5,156,1.3,2.831,"31.2","-1.1"
"1581","WB",1991,1992,10,31,10.9,154,1.5,2.831,"31.5","0.5"
"1582","WB",1991,1992,11,1,13.2,174,1.5,7.559,"33.0","-2.4"
"1583","WB",1991,1992,11,1,17.6,163,1.9,20.27,"34.2","-5.0"
"1584","WB",1991,1992,11,1,20.4,166,1.7,15.825,"34.7","-4.3"
"1585","WB",1991,1992,11,2,20.4,165,1.6,12.06,"34.9","-5.4"
"1586","WB",1991,1992,11,2,17.7,160,1.6,6.936,"33.8","-4.4"
"1587","EB",1991,1992,11,5,0.05,105,1.7,3.142,"23.9","1.6"
"1588","WB",1991,1992,11,5,15.4,155,1.3,2.831,"32.0","-3.0"
"1589","WB",1991,1992,11,5,15.4,156,1.3,2.831,"32.0","-1.2"
"1590","EB",1991,1992,11,6,0.05,107,1.7,2.831,"24.8","0.8"
"1591","WB",1991,1992,11,6,15.6,154,1.4,2.52,"32.3","-2.4"
"1592","EB",1991,1992,11,8,0.05,107,1.7,1.953,"24.8","1.3"
"1593","WB",1991,1992,11,8,15.3,149,1.4,1.953,"31.8","-0.5"
"1594","EB",1991,1992,11,11,0.05,107,1.8,2.435,"24.4","2.1"
"1595","WB",1991,1992,11,11,16.3,142,1.5,2.406,"30.6","-1.8"
"1596","EB",1991,1992,11,12,0.05,105,1.7,5.86,"23.4","1.2"
"1597","WB",1991,1992,11,12,18.7,156,1.4,5.605,"32.1","-3.2"
"1598","WB",1991,1992,11,12,18.9,155,1.3,5.605,"31.8","-1.1"
"1599","EB",1991,1992,11,12,0.05,103,1.8,4.784,"23.8","1.5"
"1600","WB",1991,1992,11,12,16.4,144,1.6,4.388,"31.2","-1.1"
"1601","EB",1991,1992,11,12,0.05,102,1.8,4.699,"23.9","2.1"
"1602","WB",1991,1992,11,12,17.7,148,1.7,4.275,"32.3","-2.6"
"1603","EB",1991,1992,11,13,0.05,103,1.8,4.275,"24.1","2.0"
"1604","WB",1991,1992,11,13,19.1,154,1.5,3.51,"33.3","-4.2"
"1605","EB",1991,1992,11,15,0.05,104,1.7,2.52,"23.7","1.1"
"1606","WB",1991,1992,11,15,18.5,145,1.4,2.236,"31.4","1.2"
"1607","EB",1991,1992,11,17,0.05,103,1.6,2.888,"23.7","1.3"
"1608","WB",1991,1992,11,17,19.1,145,1.4,2.52,"31.5","0.3"
"1609","EB",1991,1992,11,19,0.05,103,1.7,1.953,"23.2","1.2"
"1610","EB",1991,1992,11,19,0.05,103,1.6,1.953,"23.2","1.8"
"1611","WB",1991,1992,11,19,20,143,1.2,1.953,"30.5","1.5"
"1612","WB",1991,1992,11,19,20.1,143,1.2,1.953,"30.5","1.1"
"1613","WB",1991,1992,11,26,23.3,144,1.4,4.275,"32.4","-3.1"
"1614","WB",1991,1992,11,26,23.6,145,1.5,4.275,"32.6","-2.9"
"1615","EB",1991,1992,11,26,0.05,107,1.8,4.275,"23.1","-0.6"
"1616","EB",1991,1992,12,5,1,100,1.5,1.953,"23.7","0.9"
"1617","WB",1991,1992,12,5,24.3,134,1.2,1.953,"31.0","-2.8"
"1618","WB",1991,1992,12,5,24.3,135,1.2,1.953,"31.1","-1.3"
"1619","WB",1991,1992,12,10,27.4,142,1.2,2.52,"30.6","-1.1"
"1620","WB",1991,1992,12,10,26.5,139,1.2,2.52,"30.6","-1.2"
"1621","EB",1991,1992,12,10,3.1,103,1.2,3.142,"23.2","-0.1"
"1622","EB",1991,1992,12,13,3.1,101,1.7,7.276,"24.0","2.1"
"1623","WB",1991,1992,12,13,27.4,139,1.4,5.605,"31.9","-2.7"
"1624","EB",1991,1992,12,15,2.9,100,1.6,6.115,"23.3","0.2"
"1625","WB",1991,1992,12,15,30.9,148,1.3,5.605,"34.1","-4.6"
"1626","EB",1991,1992,12,17,2.6,106,1.6,2.52,"24.2","3.4"
"1627","EB",1991,1992,12,17,2.7,105,1.6,2.52,"24.3","3.2"
"1628","WB",1991,1992,12,17,31.4,146,1.2,2.236,"32.9","-2.5"
"1629","EB",1991,1992,12,20,2.2,107,1.4,1.699,"23.4","-0.9"
"1630","WB",1991,1992,12,20,30.1,142,1.1,1.557,"31.0","-2.3"
"1631","EB",1991,1992,12,22,2.1,107,1.4,1.472,"23.5","-1.6"
"1632","WB",1991,1992,12,22,30.4,140,1.3,1.472,"30.7","-1.7"
"1633","EB",1991,1992,12,24,2.1,106,1.4,1.274,"23.5","0.7"
"1634","WB",1991,1992,12,24,30.1,138,1,1.359,"30.4","-1.7"
"1635","WB",1991,1992,12,24,30,138,1,1.359,"30.5","-2.1"
"1636","EB",1991,1992,12,27,3.4,108,1.4,0.906,"24.2","1.4"
"1637","WB",1991,1992,12,27,29.8,135,1.1,0.906,"30.9","-0.8"
"1638","EB",1991,1992,12,29,3.4,108,1.4,0.764,"24.2","2.1"
"1639","WB",1991,1992,12,29,28.5,130,1.2,0.906,"30.3","-0.8"
"1640","EB",1991,1992,12,31,3.6,110,1.3,0.623,"24.6","1.7"
"1641","WB",1991,1992,12,31,29.4,132,1,0.906,"30.6","0.5"
"1642","WB",1991,1992,12,31,29.3,133,1,0.906,"30.6","-0.3"
"1643","EB",1992,1992,1,4,3.6,108,1.4,0.51,"23.8","4.7"
"1644","WB",1992,1992,1,4,29.1,134,1.1,0.764,"29.4","0.2"
"1645","EB",1992,1992,1,5,9.3,100,2,17.014,"21.6","3.1"
"1646","WB",1992,1992,1,5,35.6,146,1.9,18.543,"31.0","-2.2"
"1647","EB",1992,1992,1,5,12.5,97,2.3,38.218,"22.2","2.5"
"1648","WB",1992,1992,1,5,45.2,164,2.1,39.068,"35.5","-6.1"
"1649","EB",1992,1992,1,5,15.8,95,3,94.555,"23.1","-0.5"
"1650","WB",1992,1992,1,5,54.6,183,2.3,62.848,"39.2","-8.3"
"1651","EB",1992,1992,1,5,16.9,95,2.7,71.907,"23.1","-0.1"
"1652","WB",1992,1992,1,5,62,197,2,57.469,"41.3","-9.6"
"1653","EB",1992,1992,1,5,15.8,96,2.5,44.73,"23.1","-2.3"
"1654","WB",1992,1992,1,5,60,196,1.9,43.031,"40.8","-9.1"
"1655","EB",1992,1992,1,6,14.2,97,2.1,28.593,"23.0","-1.9"
"1656","WB",1992,1992,1,6,57.8,187,1.8,28.593,"40.0","-11.8"
"1657","EB",1992,1992,1,6,13.3,100,2.2,17.864,"23.0","-1.6"
"1658","WB",1992,1992,1,6,59,183,1.7,17.467,"39.1","-9.6"
"1659","EB",1992,1992,1,6,12.4,99,2,13.164,"22.8","-1.7"
"1660","WB",1992,1992,1,6,59.2,176,1.6,12.06,"38.0","-8.5"
"1661","WB",1992,1992,1,7,55.9,161,1.3,7.078,"36.6","-7.8"
"1662","WB",1992,1992,1,7,56.3,163,1.3,7.078,"36.5","-6.5"
"1663","EB",1992,1992,1,7,10.8,102,1.7,6.625,"22.5","-2.0"
"1664","EB",1992,1992,1,7,10.4,101,1.7,6.625,"22.7","-3.0"
"1665","EB",1992,1992,1,10,7.1,101,1.5,2.52,"21.9","-1.8"
"1666","WB",1992,1992,1,10,47,150,1.3,2.718,"32.5","-7.4"
"1667","EB",1992,1992,1,12,6.4,108,1.5,1.472,"22.7","-2.2"
"1668","WB",1992,1992,1,12,44.7,144,1.1,1.699,"31.8","-5.0"
"1669","WB",1992,1992,1,14,41.5,141,1.1,1.699,"31.2","-4.8"
"1670","EB",1992,1992,1,14,5.7,106,1.4,1.472,"22.8","-0.1"
"1671","EB",1992,1992,1,14,5.6,105,1.4,1.472,"22.7","0.1"
"1672","EB",1992,1992,1,21,6,117,1.9,0.226,"26.8","6.3"
"1673","WB",1992,1992,1,21,41.8,135,1.2,0.764,"31.9","1.2"
"1674","WB",1992,1992,1,21,41.8,137,1.3,0.764,"31.9","-1.4"
"1675","EB",1992,1992,1,28,7.2,109,1.6,0.906,"26.8","8.8"
"1676","WB",1992,1992,1,28,45.6,137,1.1,1.472,"33.5","0.9"
"1677","WB",1992,1992,1,28,45.7,138,1,1.472,"33.5","0.9"
"1678","WB",1992,1992,1,31,40.4,129,1.3,1.472,"29.8","3.4"
"1679","WB",1992,1992,2,2,39.7,127,1.5,1.104,"29.5","3.3"
"1680","WB",1992,1992,2,4,39.5,127,1.2,0.934,"29.3","3.8"
"1681","WB",1992,1992,2,4,39.2,127,1.2,0.934,"29.3","3.7"
"1682","EB",1992,1992,2,4,6.2,106,1.5,0.764,"24.2","13.3"
"1683","EB",1992,1992,2,4,6.2,106,1.5,0.764,"24.1","13.7"
"1684","WB",1992,1992,2,7,38.3,130,1.2,0.906,"30.7","4.3"
"1685","WB",1992,1992,2,9,37.9,129,1.4,0.906,"30.3","5.3"
"1686","WB",1992,1992,2,11,37,129,1.1,0.764,"30.1","6.2"
"1687","EB",1992,1992,2,11,6.7,111,1.4,0.51,"24.8","14.0"
"1688","EB",1992,1992,2,11,6.4,109,1.2,0.51,"24.8","14.3"
"1689","WB",1992,1992,2,14,33.8,121,1.2,0.764,"29.3","5.2"
"1690","WB",1992,1992,2,16,48,126,1.4,5.067,"32.0","4.6"
"1691","EB",1992,1992,2,18,13.5,105,1.3,1.076,"25.9","13.1"
"1692","WB",1992,1992,2,18,44.3,127,1,1.076,"31.3","4.7"
"1693","WB",1992,1992,2,18,43.9,128,1,1.076,"31.2","5.2"
"1694","WB",1992,1992,2,21,43.3,127,1.3,1.699,"31.1","6.3"
"1695","WB",1992,1992,2,23,40.4,126,1.2,1.472,"30.5","6.6"
"1696","EB",1992,1992,2,25,9.8,105,1.4,0.906,"25.1","12.6"
"1697","WB",1992,1992,2,25,39.8,125,1.1,1.274,"30.3","5.5"
"1698","WB",1992,1992,2,25,40.2,127,1.1,1.274,"30.3","4.9"
"1699","WB",1992,1992,2,28,38.4,126,1.2,1.076,"30.3","3.9"
"1700","WB",1992,1992,3,1,37.8,126,1.3,1.076,"31.2","3.4"
"1701","WB",1992,1992,3,3,40,130,1,0.906,"30.2","5.1"
"1702","WB",1992,1992,3,3,38,126,1.1,0.906,"30.0","5.0"
"1703","EB",1992,1992,3,3,7.8,110,1.3,0.623,"25.4","10.1"
"1704","EB",1992,1992,3,3,7.8,110,1.3,0.623,"25.3","9.6"
"1705","EB",1992,1992,3,10,13.7,105,1.4,3.142,"24.5","4.8"
"1706","EB",1992,1992,3,10,13.5,104,1.4,3.142,"24.5","4.4"
"1707","WB",1992,1992,3,10,70.5,169,1.2,2.831,"39.3","-2.4"
"1708","WB",1992,1992,3,10,51.7,149,2.5,2.831,"35.1","-7.8"
"1709","WB",1992,1992,3,11,45.9,141,2.9,4.19,"33.8","-8.2"
"1710","WB",1992,1992,3,11,52.9,146,2.6,19.364,"37.0","-9.4"
"1711","WB",1992,1992,3,11,53,164,2.9,63.131,"38.5","-12.6"
"1712","WB",1992,1992,3,12,63.2,179,2.3,38.785,"41.4","-14.4"
"1713","WB",1992,1992,3,12,73.8,188,1.7,17.071,"43.8","-7.6"
"1714","WB",1992,1992,3,12,74.2,181,1.5,9.682,"42.6","-4.9"
"1715","WB",1992,1992,3,12,71.3,171,1.5,7.078,"41.8","-4.5"
"1716","WB",1992,1992,3,17,70.6,143,1.1,1.953,"37.5","-2.1"
"1717","WB",1992,1992,3,17,70.6,141,1.1,1.953,"37.6","-2.7"
"1718","EB",1992,1992,3,17,10.1,104,1.4,1.472,"24.4","2.5"
"1719","WB",1992,1992,3,20,66.8,141,1.2,1.472,"35.3","-0.8"
"1720","WB",1992,1992,3,22,63.8,139,1.5,1.274,"34.5","-0.5"
"1721","WB",1992,1992,3,24,61,136,1,1.076,"33.9","0.6"
"1722","WB",1992,1992,3,24,62,139,1,1.076,"33.7","1.6"
"1723","EB",1992,1992,3,24,7.3,106,1.3,0.623,"24.2","6.0"
"1724","EB",1992,1992,3,31,9.5,94,1.5,4.275,"24.6","2.8"
"1725","WB",1992,1992,3,31,61,145,1.3,4.275,"37.2","-1.7"
"1726","WB",1992,1992,3,31,60.6,145,1.2,4.275,"37.2","-1.4"
"1727","EB",1992,1992,3,31,8.9,90,2.1,4.275,"24.7","3.4"
"1728","WB",1992,1992,3,31,57.8,140,1.3,4.275,"37.4","-2.9"
"1729","EB",1992,1992,4,1,7.3,87,2,6.625,"23.4","3.1"
"1730","WB",1992,1992,4,1,55.6,140,1.7,6.115,"36.0","-4.5"
"1731","EB",1992,1992,4,2,8.9,90,1.8,4.19,"24.1","2.0"
"1732","WB",1992,1992,4,2,58.1,141,1.6,4.275,"36.1","-2.3"
"1733","EB",1992,1992,4,3,8,92,1.8,3.256,"24.1","3.0"
"1734","WB",1992,1992,4,3,56.7,139,1.5,3.51,"35.5","-2.7"
"1735","EB",1992,1992,4,4,7.4,94,1.8,2.52,"24.2","3.3"
"1736","WB",1992,1992,4,4,54.5,136,1.3,2.831,"34.7","-3.1"
"1737","EB",1992,1992,4,5,7,94,1.8,2.236,"24.1","3.6"
"1738","WB",1992,1992,4,5,52.3,133,2.3,2.831,"34.3","-1.6"
"1739","EB",1992,1992,4,6,6.7,95,2,3.369,"23.7","2.5"
"1740","WB",1992,1992,4,6,49.3,130,1.7,3.709,"33.4","-2.0"
"1741","EB",1992,1992,4,7,6.9,97,1.7,3.142,"23.5","6.3"
"1742","EB",1992,1992,4,7,6.9,97,1.7,3.142,"23.8","5.7"
"1743","WB",1992,1992,4,7,53,136,1.2,3.142,"33.5","0.6"
"1744","WB",1992,1992,4,8,52.2,138,1.4,8.55,"33.6","2.3"
"1745","WB",1992,1992,4,9,59.8,143,1.4,6.851,"35.1","1.6"
"1746","WB",1992,1992,4,10,60.1,144,1.4,6.625,"35.4","1.4"
"1747","WB",1992,1992,4,13,54.7,138,1.9,2.831,"34.5","1.2"
"1748","EB",1992,1992,4,14,7,97,1.4,2.236,"23.5","5.1"
"1749","WB",1992,1992,4,14,52.8,135,1,2.52,"33.7","1.3"
"1750","WB",1992,1992,4,14,52.3,135,1,2.52,"33.9","0.9"
"1751","EB",1992,1992,4,16,7,98,1.6,3.878,"23.2","6.6"
"1752","WB",1992,1992,4,16,53,137,1.3,3.142,"32.9","3.4"
"1753","EB",1992,1992,4,17,7.2,97,1.7,2.831,"22.6","6.0"
"1754","WB",1992,1992,4,17,52,139,1.3,2.831,"32.9","3.1"
"1755","EB",1992,1992,4,18,7.1,98,1.6,3.482,"23.0","6.5"
"1756","WB",1992,1992,4,18,56.2,145,1.3,2.831,"34.6","2.9"
"1757","EB",1992,1992,4,19,7.2,99,1.6,5.888,"22.7","6.0"
"1758","WB",1992,1992,4,19,59.9,149,1.2,4.218,"35.4","3.8"
"1759","EB",1992,1992,4,20,7.1,94,2,4.699,"21.7","6.4"
"1760","WB",1992,1992,4,20,60,147,1.3,4.699,"35.0","4.1"
"1761","EB",1992,1992,4,21,7.7,91,1.7,8.663,"20.9","6.0"
