WY,WY_label,Year_group,Watershed,Watershed_group,Area,H2O,DOC ,Cl,NO3,SO4,NH4,Si,N flux,Ca,K,Mg,Na,H,Al,ANC,HCO3,Discharge L/s,EQPH,Ca_vol,Mg_vol,NO3_vol,SO4_vol,DOC_vol
1997,,,WB,WB (treatment),10.26,89,1186,621,354,1562,10,620,364,864,75,302,684,99,203,0.3,19,6.82,5.08,99.61,34.79,40.8,180.06,136.68
1998,98,,WB,WB (treatment),10.26,115,1873,708,444,2074,4.7,784,449,1065,108,400,864,134,189,0.1,22,7.27,5.02,95,35.66,39.62,185,167.07
1999,,,WB,WB (treatment),10.26,99,1421,676,717,1737,27.4,632,745,1017,113,399,805,122,226,1.1,18,7.21,4.96,105.39,41.32,74.33,180.03,147.27
2000,0,,WB,WB (treatment),10.26,103,1644,862,450,1787,12,752,462,933,99,349,901,182,231,0.1,18,9.3,4.79,92.97,34.77,44.85,177.98,163.74
2001,,,WB,WB (treatment),10.26,51,925,369,205,907,2,390,207,490,45,187,467,64,108,1.9,10,4.69,5.07,98.66,37.61,41.24,182.49,186.03
2002,2,,WB,WB (treatment),10.26,72,1206,590,238,1355,6.7,544,245,686,58,265,658,90,181,2.1,13,14.33,5,97.73,37.73,33.96,193.11,171.91
2003,,,WB,WB (treatment),10.26,87,1650,593,132,1551,23.4,584,156,744,65,295,735,101,183,0.6,14,12.44,4.98,87.71,34.76,15.59,182.88,194.59
2004,4,,WB,WB (treatment),10.26,115,483,854,142,1991,35.2,,177,979,91,365,995,145,174,0,22,17.04,4.91,87.3,32.54,12.65,177.62,43.09
2005,,,WB,WB (treatment),10.26,114,1525,646,313,1930,,,313,917,88,358,893,157,85,0.6,19,14.06,4.95,82.52,32.19,28.2,173.74,137.25
2006,6,,WB,WB (treatment),10.26,159,2469,822,487,2427,25.3,,513,1280,111,494,1188,224,223,0.4,20,9.65,4.93,82.6,31.88,31.45,156.64,159.31
2007,,,WB,WB (treatment),10.26,114,1832,493,559,1699,28.2,,588,851,103,348,723,158,268,0.7,17,41.66,4.89,76.49,31.27,50.26,152.67,164.61
2008,8,,WB,WB (treatment),10.26,131,2336,598,483,2021,9.7,40,493,1009,95,381,897,184,285,0.8,18,25.13,4.87,78.73,29.7,37.7,157.73,182.34
2009,,,WB,WB (treatment),10.26,158,1884,811,448,2349,,,448,1182,92,469,1144,166,290,0,20,6.42,5.09,76.73,30.47,29.09,152.55,122.36
2010,10,,WB,WB (treatment),10.26,101,1317,512,321,1485,,,321,788,75,313,755,98,177,4.5,16,21.33,5.08,80.04,31.83,32.59,150.82,133.82
2011,,,WB,WB (treatment),10.26,136,1579,747,394,2030,,,394,986,84,404,988,148,302,0.2,14,6.32,5.21,74.37,30.44,29.7,153.18,119.11
2012,12,,WB,WB (treatment),10.26,111,1314,739,473,1631,,,473,883,85,351,868,119,233,0.9,14,16.91,5.01,81.58,32.48,43.68,150.75,121.44
2013,,,WB,WB (treatment),10.26,141,1743,884,434,2081,,,434,1073,90,425,1166,147,255,0.3,22,3.74,4.98,78.1,30.9,31.61,151.42,126.82
2014,14,,WB,WB (treatment),10.26,89,1353,462,495,1305,,,495,465,56,156,398,69,10,1.4,19,10.59,4.99,53.5,17.91,56.92,150.18,155.73
2015,,,WB,WB (treatment),10.26,108,1134,518,511,1363,,,,663,72,272,694,126,228,0.1,17,7.4,5.06,63.17,25.89,48.68,129.96,108.14
2016,16,,WB,WB (treatment),10.26,106,1307,651,315,1446,,,,711,62,254,528,106,189,0,20,4.32,4.83,68.97,24.64,30.58,140.26,126.72
2017,,,WB,WB (recovery),10.26,120,1592,837,93,1598,10.3,,,708,63,257,865,106,202,0,23,16.04,4.89,60.63,21.99,8.01,136.91,136.41
2018,18,,WB,WB (recovery),10.26,120,2014,892,26,1347,18.2,,,634,92,238,884,67,168,20.7,35,11.19,5.02,54.13,20.32,2.2,114.92,171.87
