"","WY","Watershed","Area","H2O","DOC","NO3","SO4","ANC","Discharge L/s","EQPH","Q","WY_group","period","NO3_vol","SO4_vol","DOC_vol"
"51",2009,"WB",10.26,158,1884,448,2349,0,6.42,5.09,6.42,"2000-09","second decade",29.09,152.54,122.34
"52",2010,"WB",10.26,101,1317,321,1485,4.5,21.33,5.08,21.33,"2010-16","third decade",32.61,150.85,133.79
"53",2011,"WB",10.26,136,1579,394,2030,0.2,6.32,5.21,6.32,"2010-16","third decade",29.72,153.15,119.12
"54",2012,"WB",10.26,111,1314,473,1631,0.9,16.91,5.01,16.91,"2010-16","third decade",43.72,150.76,121.46
"55",2013,"WB",10.26,141,1743,434,2081,0.3,3.74,4.98,3.74,"2010-16","third decade",31.58,151.43,126.83
"56",2014,"WB",10.26,89,1353,495,1305,1.4,10.59,4.99,10.59,"2010-16","third decade",57.06,150.44,155.98
"57",2015,"WB",10.26,108,1134,511,1363,0.1,7.4,5.06,7.4,"2010-16","third decade",48.54,129.48,107.73
"58",2016,"WB",10.26,106,1307,315,1446,0,4.32,4.83,4.32,"2010-16","third decade",30.49,139.96,126.51
"59",2017,"WB",10.26,120,1592,93,1598,0,16.04,4.89,16.04,"2017-18","recovery",7.95,136.63,136.12
"60",2018,"WB",10.26,120,2014,26,1347,20.7,11.19,5.02,11.19,"2017-18","recovery",2.22,115.17,172.2
