WY,wet_data_type,S_input_wet_kg_ha_yr,N_input_wet_kg_ha_yr,S_input_dry_kg_ha_yr,N_input_dry_kg_ha_yr,S_input_total_kg_ha_yr,N_input_total_kg_ha_yr
1989,measured,6.53,4.65,3.52,3.87,10.05,8.52
1990,measured,6.1,4.38,3.29,3.65,9.39,8.03
1991,measured,5.12,3.73,2.76,3.11,7.88,6.84
1992,measured,4.8,3.51,2.59,2.92,7.39,6.43
1993,measured,4.78,3.34,2.57,2.78,7.35,6.12
1994,measured,4.86,3.94,2.62,3.28,7.48,7.22
1995,measured,3.7,3.59,1.99,2.99,5.69,6.58
1996,measured,5.14,4.61,2.77,3.84,7.91,8.45
1997,measured,5.82,5.25,3.13,4.37,8.95,9.62
1998,measured,3.89,3.24,2.1,2.7,5.99,5.94
1999,measured,6.9,4.86,3.72,4.05,10.62,8.91
2000,measured,5.84,5.21,3.15,4.34,8.99,9.55
2001,measured,3.42,2.69,1.84,2.24,5.26,4.93
2002,measured,4.34,4.93,2.34,4.1,6.68,9.03
2003,measured,2.83,2.5,1.52,2.08,4.35,4.58
2004,measured,3.57,2.38,1.92,1.98,5.49,4.36
2005,measured,3.39,2.83,1.83,2.36,5.22,5.19
2006,measured,4.13,3.95,2.22,3.29,6.35,7.24
2007,measured,3.66,2.21,1.97,1.84,5.63,4.05
2008,measured,3.65,3.12,1.97,2.6,5.62,5.72
2009,measured,1.46,1.03,0.79,0.86,2.25,1.89
2010,measured,1.63,1.34,0.88,1.12,2.51,2.46
2011,measured,2.45,2.29,1.32,1.91,3.77,4.2
2012,measured,1.76,2.18,0.95,1.81,2.71,3.99
2013,estimated,1.69,2.05,0.91,1.71,2.6,3.76
2014,estimated,1.68,2.11,0.9,1.76,2.58,3.87
2015,estimated,1.13,1.2,0.61,1,1.74,2.2
2016,estimated,1.21,1.69,0.65,1.41,1.86,3.1
2017,estimated,1.34,1.83,0.72,1.52,2.06,3.35
2018,estimated,1.24,2.19,0.67,1.82,1.91,4.01
