Watershed,Year,WY,Month,Day,NO3_ueq_L,SO4_ueq_L
EB,1986,1987,10,1,0.05,115
WB,1986,1987,10,1,0.05,110
EB,1986,1987,11,13,2,112
EB,1986,1987,11,13,0.05,117
WB,1986,1987,11,13,3,107
EB,1986,1987,11,17,2,112
WB,1986,1987,11,17,4,107
EB,1986,1987,11,25,18,105
WB,1986,1987,11,25,22,113
EB,1986,1987,12,2,11,108
WB,1986,1987,12,2,12,110
EB,1987,1987,1,14,8,108
WB,1987,1987,1,14,8,102
EB,1987,1987,1,21,8,109
WB,1987,1987,1,21,8,102
EB,1987,1987,2,3,8.7,109
EB,1987,1987,2,3,8.5,106
WB,1987,1987,2,3,6.9,98
EB,1987,1987,2,17,7.6,106
WB,1987,1987,2,17,8.7,98
WB,1987,1987,2,17,8.7,96
EB,1987,1987,3,4,5.4,107
WB,1987,1987,3,4,7.5,95
EB,1987,1987,3,10,5.3,102
WB,1987,1987,3,10,7.4,93
EB,1987,1987,3,18,4.3,108
EB,1987,1987,3,18,5.1,101
WB,1987,1987,3,18,6.2,95
EB,1987,1987,3,23,10.5,106
WB,1987,1987,3,23,17.2,95
EB,1987,1987,3,25,13.2,99
WB,1987,1987,3,25,13.9,86
EB,1987,1987,3,27,24.4,97
WB,1987,1987,3,27,24.9,99
EB,1987,1987,3,29,21.5,96
WB,1987,1987,3,29,21.2,100
EB,1987,1987,4,1,25.9,81
WB,1987,1987,4,1,28,97
EB,1987,1987,4,2,23.6,84
WB,1987,1987,4,2,26.5,98
EB,1987,1987,4,3,20.7,87
WB,1987,1987,4,3,22.9,98
WB,1987,1987,4,5,21,97
EB,1987,1987,4,5,15.7,85
EB,1987,1987,4,6,15.1,87
WB,1987,1987,4,6,22.5,91
WB,1987,1987,4,7,17.3,97
EB,1987,1987,4,7,13.4,87
EB,1987,1987,4,8,15.4,89
WB,1987,1987,4,8,20.6,99
EB,1987,1987,4,9,11.5,91
WB,1987,1987,4,9,17.4,97
EB,1987,1987,4,10,10.3,91
WB,1987,1987,4,10,15.7,97
WB,1987,1987,4,10,15.9,97
EB,1987,1987,4,14,7.3,96
WB,1987,1987,4,14,13.2,97
WB,1987,1987,4,21,3.7,102
EB,1987,1987,4,21,8.1,102
EB,1987,1987,4,28,2.3,104
WB,1987,1987,4,28,6.6,101
EB,1987,1987,4,30,2.8,100
WB,1987,1987,4,30,7.2,98
EB,1987,1987,5,5,3.2,103
WB,1987,1987,5,5,6.9,101
EB,1987,1987,5,7,4.3,100
WB,1987,1987,5,7,8.9,107
EB,1987,1987,5,12,2.5,105
WB,1987,1987,5,12,6.1,103
EB,1987,1987,5,19,1.6,107
WB,1987,1987,5,19,4.9,103
EB,1987,1987,5,26,0.8,105
WB,1987,1987,5,26,3.6,101
WB,1987,1987,6,2,2.9,104
EB,1987,1987,6,2,0.4,109
EB,1987,1987,6,9,1,106
WB,1987,1987,6,9,2.9,105
WB,1987,1987,6,17,1.4,103
EB,1987,1987,6,17,0.2,106
EB,1987,1987,6,17,0.1,108
WB,1987,1987,6,23,0.4,97
EB,1987,1987,6,23,0.05,109
EB,1987,1987,6,25,0.05,105
WB,1987,1987,6,25,0.7,99
WB,1987,1987,6,30,0.9,104
WB,1987,1987,6,30,0.7,107
EB,1987,1987,6,30,0.3,101
EB,1987,1987,7,7,0.05,107
WB,1987,1987,7,7,0.5,102
WB,1987,1987,7,14,0.6,102
EB,1987,1987,7,14,0.05,109
WB,1987,1987,7,21,1,106
EB,1987,1987,7,21,0.05,111
EB,1987,1987,7,28,1,109
WB,1987,1987,7,28,0.05,101
EB,1987,1987,8,4,0.05,110
WB,1987,1987,8,4,0.05,101
EB,1987,1987,8,11,0.05,114
WB,1987,1987,8,11,0.05,103
WB,1987,1987,8,18,0.05,99
WB,1987,1987,8,25,0.05,96
WB,1987,1987,9,1,1,97
WB,1987,1987,9,8,0.05,96
WB,1987,1987,9,8,0.05,94
WB,1987,1987,9,15,0.05,102
EB,1987,1987,9,15,0.05,114
EB,1987,1987,9,22,0.05,102
WB,1987,1987,9,22,0.05,112
WB,1987,1987,9,29,0.05,108
EB,1987,1987,9,29,0.05,113
EB,1987,1987,9,29,0.05,117
EB,1987,1988,10,6,0.05,107
WB,1987,1988,10,6,0.05,119
WB,1987,1988,10,6,0.05,118
EB,1987,1988,10,13,0.05,107
WB,1987,1988,10,13,0.05,112
WB,1987,1988,10,13,1,113
EB,1987,1988,10,20,0.05,109
EB,1987,1988,10,20,0.05,110
WB,1987,1988,10,20,0.05,109
WB,1987,1988,10,20,0.05,113
EB,1987,1988,10,28,0.05,112
WB,1987,1988,10,28,0.05,110
WB,1987,1988,10,28,0.05,108
WB,1987,1988,11,4,0.05,110
WB,1987,1988,11,4,0.05,113
EB,1987,1988,11,4,0.05,107
EB,1987,1988,11,4,0.05,111
WB,1987,1988,11,10,1.1,112
EB,1987,1988,11,10,0.05,110
WB,1987,1988,11,17,1.3,106
WB,1987,1988,11,17,2.1,108
EB,1987,1988,11,17,0.7,108
EB,1987,1988,11,17,1,105
EB,1987,1988,11,23,1.1,94
WB,1987,1988,11,23,3,108
EB,1987,1988,12,1,10.2,94
WB,1987,1988,12,1,10.3,105
WB,1987,1988,12,1,6.5,104
EB,1987,1988,12,1,10.1,94
EB,1987,1988,12,8,3.1,103
WB,1987,1988,12,8,4.9,106
WB,1987,1988,12,15,6.2,108
WB,1987,1988,12,15,NA,NA
EB,1987,1988,12,15,5,105
EB,1987,1988,12,15,5,107
EB,1987,1988,12,21,5.4,105
EB,1987,1988,12,21,5.4,106
WB,1987,1988,12,21,6.2,104
WB,1987,1988,12,29,6.6,105
WB,1987,1988,12,29,6.6,105
EB,1987,1988,12,29,6,103
EB,1987,1988,12,29,6.2,107
WB,1988,1988,1,4,7.4,98
EB,1988,1988,1,5,6.1,106
EB,1988,1988,1,11,6.4,106
EB,1988,1988,1,12,6.7,107
WB,1988,1988,1,12,5.6,102
WB,1988,1988,1,12,6.5,102
EB,1988,1988,1,18,18.9,106
EB,1988,1988,1,19,18.8,106
WB,1988,1988,1,19,14.7,102
WB,1988,1988,1,26,7.6,101
EB,1988,1988,1,27,10.6,108
EB,1988,1988,1,27,10.6,107
WB,1988,1988,2,2,14.4,99
EB,1988,1988,2,2,24.5,102
WB,1988,1988,2,8,9.7,103
EB,1988,1988,2,9,12.1,105
EB,1988,1988,2,9,13,107
WB,1988,1988,2,9,9.6,103
EB,1988,1988,2,15,16.6,100
WB,1988,1988,2,16,14,100
WB,1988,1988,2,22,13,109
WB,1988,1988,2,23,14.1,109
EB,1988,1988,2,23,16.7,104
EB,1988,1988,2,23,18.6,105
EB,1988,1988,3,0,8.4,99
WB,1988,1988,3,1,9.1,107
EB,1988,1988,3,7,9.4,105
EB,1988,1988,3,8,9.7,106
WB,1988,1988,3,8,9.7,105
WB,1988,1988,3,8,9.3,105
EB,1988,1988,3,15,10.8,106
EB,1988,1988,3,15,11.6,105
EB,1988,1988,3,15,11.6,104
WB,1988,1988,3,15,9.8,106
WB,1988,1988,3,22,7.8,105
WB,1988,1988,3,22,8.4,106
EB,1988,1988,3,22,9.4,106
EB,1988,1988,3,22,9.9,108
EB,1988,1988,3,25,13.6,105
WB,1988,1988,3,25,12,102
WB,1988,1988,3,27,27,96
EB,1988,1988,3,27,24.4,83
EB,1988,1988,3,28,21.4,94
EB,1988,1988,3,28,19.3,92
WB,1988,1988,3,28,24.6,105
WB,1988,1988,3,28,27.8,103
EB,1988,1988,3,29,18.9,95
EB,1988,1988,3,29,19.4,96
WB,1988,1988,3,29,22.1,107
EB,1988,1988,4,5,9.2,101
EB,1988,1988,4,5,10,104
WB,1988,1988,4,5,17.3,110
EB,1988,1988,4,5,9.7,105
EB,1988,1988,4,5,10,102
EB,1988,1988,4,12,6.6,104
EB,1988,1988,4,12,6.2,108
EB,1988,1988,4,12,6.5,104
WB,1988,1988,4,12,12.1,103
EB,1988,1988,4,19,6.7,106
EB,1988,1988,4,19,6.7,106
EB,1988,1988,4,19,7.4,106
WB,1988,1988,4,19,10.8,114
WB,1988,1988,4,19,10.1,109
WB,1988,1988,4,26,7,107
EB,1988,1988,4,26,4.5,104
EB,1988,1988,4,26,4.1,103
EB,1988,1988,4,26,4,104
EB,1988,1988,5,3,5.1,106
EB,1988,1988,5,3,4.9,107
EB,1988,1988,5,3,4.7,106
EB,1988,1988,5,3,4.8,107
WB,1988,1988,5,3,8.2,112
EB,1988,1988,5,10,2,111
WB,1988,1988,5,10,6.2,110
EB,1988,1988,5,17,1.6,108
EB,1988,1988,5,17,1.7,104
EB,1988,1988,5,17,1.4,109
EB,1988,1988,5,17,2.1,109
WB,1988,1988,5,17,4.6,105
EB,1988,1988,5,24,0.05,108
EB,1988,1988,5,24,0.5,112
EB,1988,1988,5,24,0.3,109
WB,1988,1988,5,24,1.8,106
WB,1988,1988,5,24,1.8,103
WB,1988,1988,5,31,2,115
EB,1988,1988,5,31,0.05,114
EB,1988,1988,5,31,0.05,114
EB,1988,1988,6,7,0.05,113
EB,1988,1988,6,7,0.05,111
EB,1988,1988,6,7,0.05,113
EB,1988,1988,6,7,0.05,113
WB,1988,1988,6,7,1.4,108
EB,1988,1988,6,14,0.05,112
EB,1988,1988,6,14,0.05,114
WB,1988,1988,6,14,0.05,105
EB,1988,1988,6,21,0.3,116
EB,1988,1988,6,21,0.3,116
WB,1988,1988,6,21,0.05,107
EB,1988,1988,6,21,2.1,110
EB,1988,1988,6,28,0.05,115
EB,1988,1988,6,28,0.6,113
WB,1988,1988,6,28,0.05,103
WB,1988,1988,6,28,0.05,102
WB,1988,1988,7,5,0.05,103
WB,1988,1988,7,12,1,104
WB,1988,1988,7,12,1.1,103
WB,1988,1988,7,19,0.8,99
WB,1988,1988,7,19,0.8,99
WB,1988,1988,7,21,1.7,97
WB,1988,1988,7,21,1.4,97
WB,1988,1988,7,21,1.2,96
WB,1988,1988,7,22,0.5,92
WB,1988,1988,7,22,0.05,100
WB,1988,1988,7,22,0.05,100
WB,1988,1988,7,23,0.05,100
WB,1988,1988,7,23,0.05,99
WB,1988,1988,7,23,0.5,99
WB,1988,1988,7,24,0.6,99
WB,1988,1988,7,24,0.05,85
WB,1988,1988,7,24,0.05,102
WB,1988,1988,7,25,0.05,104
WB,1988,1988,7,25,0.05,103
WB,1988,1988,7,25,0.05,102
WB,1988,1988,7,26,0.05,102
WB,1988,1988,7,26,0.05,103
WB,1988,1988,7,26,0.05,103
WB,1988,1988,8,2,1,105
WB,1988,1988,8,2,0.8,105
WB,1988,1988,8,9,1.8,101
WB,1988,1988,8,9,1.8,100
EB,1988,1988,8,16,6.5,113
WB,1988,1988,8,16,1,96
EB,1988,1988,8,29,4.4,114
WB,1988,1988,8,29,0.6,102
EB,1988,1988,8,29,4.8,114
WB,1988,1988,8,29,0.5,101
EB,1988,1988,8,30,8.8,102
WB,1988,1988,8,30,0.3,NA
EB,1988,1988,8,30,10.1,109
WB,1988,1988,8,30,4.7,110
EB,1988,1988,8,30,6.4,115
EB,1988,1988,8,30,6.1,115
WB,1988,1988,8,30,5.8,114
EB,1988,1988,8,30,6.3,114
EB,1988,1988,8,30,3.5,115
WB,1988,1988,8,30,3,113
WB,1988,1988,8,31,0.3,112
EB,1988,1988,8,31,0.5,116
EB,1988,1988,8,31,1.3,116
EB,1988,1988,9,1,0.8,116
WB,1988,1988,9,1,0.2,112
WB,1988,1988,9,6,0.05,111
EB,1988,1988,9,6,0.05,117
WB,1988,1989,10,11,3.9,122
WB,1988,1989,10,11,4.3,122
EB,1988,1989,10,11,4.1,124
EB,1988,1989,10,11,3.5,125
EB,1988,1989,10,11,3.4,125
WB,1988,1989,10,18,0.05,114
WB,1988,1989,10,18,0.05,116
EB,1988,1989,10,18,0.05,122
EB,1988,1989,10,22,0.05,121
WB,1988,1989,10,22,0.05,119
EB,1988,1989,10,22,8.3,117
WB,1988,1989,10,22,15.7,118
EB,1988,1989,10,23,11.2,118
WB,1988,1989,10,23,21.9,115
EB,1988,1989,10,24,5.4,114
WB,1988,1989,10,24,9.4,113
EB,1988,1989,10,25,10,113
WB,1988,1989,10,25,17.3,115
EB,1988,1989,10,25,10.6,113
EB,1988,1989,10,25,10.1,113
EB,1988,1989,10,25,10.2,113
EB,1988,1989,10,25,10,112
WB,1988,1989,10,25,12.9,115
WB,1988,1989,10,25,13.2,116
WB,1988,1989,10,25,12.9,113
EB,1988,1989,10,25,10.2,114
WB,1988,1989,10,25,13.3,114
EB,1988,1989,10,26,8.1,113
WB,1988,1989,10,26,10.5,113
EB,1988,1989,11,1,2.4,118
WB,1988,1989,11,1,3.9,116
EB,1988,1989,11,1,2.2,116
WB,1988,1989,11,1,3.7,114
EB,1988,1989,11,2,7.2,104
WB,1988,1989,11,2,13.6,105
EB,1988,1989,11,2,10.5,102
WB,1988,1989,11,2,15,107
EB,1988,1989,11,4,5.8,109
WB,1988,1989,11,4,7.2,114
WB,1988,1989,11,8,4.9,111
EB,1988,1989,11,8,3.2,111
EB,1988,1989,11,8,3.3,110
EB,1988,1989,11,8,2.7,110
EB,1988,1989,11,8,2.9,110
EB,1988,1989,11,15,5.5,108
EB,1988,1989,11,15,5.1,109
WB,1988,1989,11,15,7.2,110
WB,1988,1989,11,15,7.5,112
WB,1988,1989,11,22,9.6,111
EB,1988,1989,11,22,7.6,107
EB,1988,1989,11,22,7.7,106
EB,1988,1989,11,22,7.3,107
EB,1988,1989,11,22,7.4,107
EB,1988,1989,11,29,10.1,102
EB,1988,1989,11,29,10.2,104
WB,1988,1989,11,29,12.3,110
WB,1988,1989,11,29,11.8,111
EB,1988,1989,12,6,8.7,112
EB,1988,1989,12,6,8.5,112
WB,1988,1989,12,6,11.1,110
EB,1988,1989,12,6,8,111
EB,1988,1989,12,6,7.1,105
WB,1988,1989,12,13,11.7,110
WB,1988,1989,12,13,11.8,109
EB,1988,1989,12,13,12,117
EB,1988,1989,12,13,10.1,121
WB,1988,1989,12,20,11.3,106
WB,1988,1989,12,20,11.5,106
EB,1988,1989,12,20,9.9,113
EB,1988,1989,12,20,9.7,113
EB,1988,1989,12,20,9.3,112
WB,1988,1989,12,27,12.1,104
EB,1988,1989,12,27,14.4,111
EB,1988,1989,12,27,14.4,113
EB,1988,1989,12,27,13.9,114
WB,1988,1989,12,27,12.1,105
WB,1988,1989,12,27,11.9,105
EB,1989,1989,1,3,13.8,112
WB,1989,1989,1,3,11.1,103
WB,1989,1989,1,3,11.2,104
EB,1989,1989,1,10,15.4,112
WB,1989,1989,1,10,12,105
WB,1989,1989,1,10,13.4,103
WB,1989,1989,1,17,14.1,102
WB,1989,1989,1,17,13.4,103
EB,1989,1989,1,17,17.9,111
EB,1989,1989,1,17,17.6,110
EB,1989,1989,1,24,20.2,110
WB,1989,1989,1,24,13.7,102
WB,1989,1989,1,24,13.9,104
EB,1989,1989,1,31,18.5,111
WB,1989,1989,1,31,14,101
EB,1989,1989,2,7,17.2,115
EB,1989,1989,2,7,17.3,113
WB,1989,1989,2,7,11.7,104
WB,1989,1989,2,7,11.7,103
EB,1989,1989,2,14,14.5,113
EB,1989,1989,2,14,14.8,114
WB,1989,1989,2,14,12.6,100
WB,1989,1989,2,21,12.1,103
WB,1989,1989,2,21,12.5,103
EB,1989,1989,2,21,19.4,114
EB,1989,1989,2,21,19.3,114
EB,1989,1989,2,21,19.3,113
WB,1989,1989,2,21,36.2,110
EB,1989,1989,2,21,43.6,113
WB,1989,1989,2,21,38.4,110
EB,1989,1989,2,21,43.6,98
WB,1989,1989,2,21,39,111
EB,1989,1989,2,22,42,98
WB,1989,1989,2,22,39.8,111
EB,1989,1989,2,22,41.1,99
WB,1989,1989,2,22,40.2,110
EB,1989,1989,2,22,41.9,100
WB,1989,1989,2,22,40.2,109
WB,1989,1989,2,22,40,112
EB,1989,1989,2,22,41.3,100
WB,1989,1989,2,22,37.5,111
EB,1989,1989,2,22,41.5,101
WB,1989,1989,2,22,37.2,106
EB,1989,1989,2,23,41.1,101
WB,1989,1989,2,23,32.1,92
WB,1989,1989,2,23,40.1,110
WB,1989,1989,2,23,11.7,103
WB,1989,1989,2,23,33.7,109
WB,1989,1989,2,23,31.6,110
WB,1989,1989,2,28,21.4,105
EB,1989,1989,2,28,29.8,107
EB,1989,1989,2,28,29.9,108
EB,1989,1989,3,7,23.7,109
WB,1989,1989,3,7,20.8,106
WB,1989,1989,3,7,21.1,105
WB,1989,1989,3,14,15.1,104
WB,1989,1989,3,14,15.2,104
EB,1989,1989,3,14,19.8,112
EB,1989,1989,3,14,19.8,112
WB,1989,1989,3,21,17.9,102
EB,1989,1989,3,21,26,108
WB,1989,1989,3,21,18.5,104
WB,1989,1989,3,27,20.1,103
EB,1989,1989,3,28,23.3,96
WB,1989,1989,3,28,22,103
WB,1989,1989,3,28,25,109
WB,1989,1989,3,29,29,108
WB,1989,1989,3,29,30,105
WB,1989,1989,3,29,30.7,107
EB,1989,1989,4,4,28.6,101
WB,1989,1989,4,4,24.6,105
EB,1989,1989,4,4,28.3,104
EB,1989,1989,4,4,28.1,100
WB,1989,1989,4,4,25.4,110
WB,1989,1989,4,4,25.5,108
EB,1989,1989,4,4,28.5,100
WB,1989,1989,4,4,23.8,104
EB,1989,1989,4,4,29.2,100
WB,1989,1989,4,4,25.2,105
EB,1989,1989,4,4,30.2,101
WB,1989,1989,4,4,26.9,107
EB,1989,1989,4,5,30.1,101
WB,1989,1989,4,5,27.7,108
EB,1989,1989,4,5,29.9,98
WB,1989,1989,4,5,27.5,111
EB,1989,1989,4,5,29.5,98
WB,1989,1989,4,5,26.9,112
EB,1989,1989,4,5,27,92
WB,1989,1989,4,5,26.4,109
EB,1989,1989,4,5,29.3,95
WB,1989,1989,4,5,27.7,111
EB,1989,1989,4,5,29.8,96
WB,1989,1989,4,5,28.7,111
EB,1989,1989,4,6,30.4,97
WB,1989,1989,4,6,28.8,111
EB,1989,1989,4,6,29.9,98
WB,1989,1989,4,6,29,110
EB,1989,1989,4,6,29.7,102
WB,1989,1989,4,6,26.9,105
EB,1989,1989,4,6,29.7,99
WB,1989,1989,4,6,28.7,106
EB,1989,1989,4,6,26.8,95
WB,1989,1989,4,6,28.1,105
EB,1989,1989,4,6,28,93
WB,1989,1989,4,6,27.5,107
EB,1989,1989,4,7,28.8,95
WB,1989,1989,4,7,29.8,108
EB,1989,1989,4,7,29.2,98
WB,1989,1989,4,7,31.5,108
EB,1989,1989,4,8,32.8,102
WB,1989,1989,4,8,29.6,104
EB,1989,1989,4,11,28.7,100
EB,1989,1989,4,11,28.1,102
WB,1989,1989,4,11,26,103
EB,1989,1989,4,15,26,102
EB,1989,1989,4,16,24.7,102
EB,1989,1989,4,17,21.8,101
EB,1989,1989,4,18,27.7,102
WB,1989,1989,4,18,26,108
EB,1989,1989,4,18,27.7,102
EB,1989,1989,4,18,27.3,100
WB,1989,1989,4,18,27.1,108
WB,1989,1989,4,18,27.3,110
EB,1989,1989,4,19,25.8,98
WB,1989,1989,4,19,23.6,104
EB,1989,1989,4,20,25.4,101
WB,1989,1989,4,20,23.5,105
EB,1989,1989,4,21,25,102
WB,1989,1989,4,21,23.7,105
EB,1989,1989,4,22,24.7,99
WB,1989,1989,4,22,24.5,105
EB,1989,1989,4,23,22.9,101
EB,1989,1989,4,25,23.3,106
WB,1989,1989,4,25,21.3,104
EB,1989,1989,4,26,23.7,105
WB,1989,1989,4,26,23.1,108
EB,1989,1989,4,27,25.8,104
WB,1989,1989,4,27,21.4,106
EB,1989,1989,4,28,23.5,100
WB,1989,1989,4,28,22.9,109
EB,1989,1989,4,29,23.7,106
WB,1989,1989,4,29,22,107
EB,1989,1989,4,30,21.1,103
EB,1989,1989,5,1,21.3,105
EB,1989,1989,5,2,20.1,102
WB,1989,1989,5,2,23.6,109
WB,1989,1989,5,2,23.3,109
EB,1989,1989,5,2,22.1,105
EB,1989,1989,5,2,22,106
WB,1989,1989,5,2,22.7,109
WB,1989,1989,5,2,30.9,112
WB,1989,1989,5,2,33.3,114
EB,1989,1989,5,2,26.7,102
WB,1989,1989,5,3,34.8,113
EB,1989,1989,5,3,30,101
WB,1989,1989,5,3,34.3,111
WB,1989,1989,5,3,34.2,111
EB,1989,1989,5,3,32.2,102
WB,1989,1989,5,3,34.4,111
EB,1989,1989,5,3,33,102
EB,1989,1989,5,3,33.1,101
EB,1989,1989,5,4,31,103
WB,1989,1989,5,4,32.3,109
EB,1989,1989,5,5,27.9,104
WB,1989,1989,5,5,28.7,108
EB,1989,1989,5,6,25.7,104
WB,1989,1989,5,6,26.5,107
WB,1989,1989,5,6,29.1,109
WB,1989,1989,5,6,35.5,111
WB,1989,1989,5,6,36.6,116
WB,1989,1989,5,6,37.9,114
WB,1989,1989,5,7,37.3,112
WB,1989,1989,5,8,33.7,111
EB,1989,1989,5,8,30.2,103
EB,1989,1989,5,9,26.8,103
WB,1989,1989,5,9,30,109
EB,1989,1989,5,9,27.2,103
EB,1989,1989,5,9,27.4,103
WB,1989,1989,5,9,30.7,109
EB,1989,1989,5,9,24.7,104
WB,1989,1989,5,9,28.3,109
EB,1989,1989,5,10,23.9,104
WB,1989,1989,5,10,26.2,109
EB,1989,1989,5,11,21.3,99
WB,1989,1989,5,11,25.5,106
EB,1989,1989,5,12,28.2,94
WB,1989,1989,5,12,28.3,106
WB,1989,1989,5,13,26.3,107
WB,1989,1989,5,14,25.3,107
EB,1989,1989,5,16,17.1,104
EB,1989,1989,5,16,17,103
WB,1989,1989,5,16,20.8,108
WB,1989,1989,5,16,21.5,110
EB,1989,1989,5,17,15.6,107
WB,1989,1989,5,17,19,107
EB,1989,1989,5,18,13.1,108
WB,1989,1989,5,18,17.4,108
WB,1989,1989,5,19,15.2,107
WB,1989,1989,5,20,13.6,107
WB,1989,1989,5,21,12.4,107
EB,1989,1989,5,22,7.1,111
WB,1989,1989,5,22,11.3,106
EB,1989,1989,5,23,6.1,111
WB,1989,1989,5,23,10.3,107
EB,1989,1989,5,23,6,111
WB,1989,1989,5,23,10,106
EB,1989,1989,5,24,5.3,107
WB,1989,1989,5,24,8.8,104
EB,1989,1989,5,25,5.2,110
WB,1989,1989,5,25,8.4,105
WB,1989,1989,5,30,7.3,110
WB,1989,1989,5,30,7.4,110
EB,1989,1989,5,30,4.5,111
EB,1989,1989,5,30,4.4,113
WB,1989,1989,6,6,4.9,110
EB,1989,1989,6,6,2.4,111
EB,1989,1989,6,13,4.2,110
WB,1989,1989,6,13,7,111
WB,1989,1989,6,13,6.8,117
EB,1989,1989,6,20,2.1,111
EB,1989,1989,6,20,1.8,112
WB,1989,1989,6,20,3.9,113
EB,1989,1989,6,27,0.8,113
WB,1989,1989,6,27,1.8,109
WB,1989,1989,6,27,1.7,110
WB,1989,1989,7,4,1,108
WB,1989,1989,7,4,0.9,108
EB,1989,1989,7,4,1.9,117
EB,1989,1989,7,4,2.3,115
WB,1989,1989,7,11,1,108
WB,1989,1989,7,11,0.9,109
WB,1989,1989,7,18,0.8,104
WB,1989,1989,7,18,1.3,104
WB,1989,1989,7,25,1.4,105
WB,1989,1989,7,25,1.3,105
WB,1989,1989,8,8,0.9,113
WB,1989,1989,8,8,0.9,111
WB,1989,1989,8,15,0.6,110
WB,1989,1989,8,15,0.7,109
EB,1989,1989,8,15,1.3,121
EB,1989,1989,8,15,1.3,123
WB,1989,1989,8,22,1.4,103
WB,1989,1989,8,22,1,103
WB,1989,1989,9,26,0.05,109
WB,1989,1989,9,26,0.05,108
WB,1989,1990,10,3,0.05,111
WB,1989,1990,10,3,0.05,111
EB,1989,1990,10,3,0.05,119
WB,1989,1990,10,10,0.05,112
WB,1989,1990,10,10,0.05,112
EB,1989,1990,10,10,1.2,123
EB,1989,1990,10,17,0.05,126
EB,1989,1990,10,17,0.05,125
WB,1989,1990,10,17,0.05,118
WB,1989,1990,10,17,0.05,118
WB,1989,1990,10,24,0.05,117
EB,1989,1990,10,24,0.05,118
WB,1989,1990,10,31,0.05,116
WB,1989,1990,10,31,0.05,116
EB,1989,1990,10,31,0.05,121
WB,1989,1990,11,1,2.9,108
EB,1989,1990,11,1,4.3,112
EB,1989,1990,11,1,5.6,107
WB,1989,1990,11,1,9.2,108
EB,1989,1990,11,1,9.6,112
WB,1989,1990,11,1,9.8,112
EB,1989,1990,11,1,4.7,111
WB,1989,1990,11,1,6.2,116
EB,1989,1990,11,2,1.8,112
WB,1989,1990,11,2,1.9,116
WB,1989,1990,11,7,3,114
WB,1989,1990,11,7,3.8,114
EB,1989,1990,11,7,1.6,111
WB,1989,1990,11,9,4.6,114
EB,1989,1990,11,9,2.1,111
WB,1989,1990,11,9,5.5,113
WB,1989,1990,11,9,5,116
EB,1989,1990,11,9,3.1,108
WB,1989,1990,11,10,5.1,117
EB,1989,1990,11,10,3.1,109
WB,1989,1990,11,10,4.4,117
EB,1989,1990,11,10,3,110
EB,1989,1990,11,10,2.3,110
WB,1989,1990,11,10,3.6,117
EB,1989,1990,11,10,2.8,110
WB,1989,1990,11,14,4.5,113
WB,1989,1990,11,14,4.9,115
WB,1989,1990,11,14,5.5,121
WB,1989,1990,11,14,4.9,124
WB,1989,1990,11,14,5.7,124
EB,1989,1990,11,14,2.6,112
WB,1989,1990,11,14,5.7,121
WB,1989,1990,11,14,6,123
WB,1989,1990,11,14,6.4,121
WB,1989,1990,11,14,6.6,121
WB,1989,1990,11,14,6.7,120
WB,1989,1990,11,14,7.3,120
WB,1989,1990,11,14,7.3,120
EB,1989,1990,11,15,3,112
WB,1989,1990,11,15,11,141
EB,1989,1990,11,16,NA,116
WB,1989,1990,11,16,13.8,131
EB,1989,1990,11,16,3.3,112
WB,1989,1990,11,16,19.5,130
EB,1989,1990,11,16,3.1,110
WB,1989,1990,11,16,12.6,136
EB,1989,1990,11,16,3.5,107
WB,1989,1990,11,16,12.9,145
EB,1989,1990,11,17,4.2,107
WB,1989,1990,11,17,15.3,141
EB,1989,1990,11,17,4.6,107
WB,1989,1990,11,17,14.2,147
EB,1989,1990,11,22,3.3,106
EB,1989,1990,11,22,3.6,107
WB,1989,1990,11,22,8.7,118
WB,1989,1990,11,22,10.1,118
EB,1989,1990,11,29,8.4,108
WB,1989,1990,11,29,11.9,118
WB,1989,1990,11,29,12.2,119
EB,1989,1990,12,6,7.3,108
EB,1989,1990,12,6,6.8,106
WB,1989,1990,12,6,10,114
WB,1989,1990,12,6,9.9,115
EB,1989,1990,12,12,8.8,111
EB,1989,1990,12,12,8.9,109
WB,1989,1990,12,12,11.8,112
WB,1989,1990,12,12,11.2,113
WB,1989,1990,12,19,11.2,109
WB,1989,1990,12,19,11.9,110
EB,1989,1990,12,19,9.2,111
EB,1989,1990,12,27,9.5,111
WB,1989,1990,12,27,10.4,104
WB,1989,1990,12,27,10.2,106
WB,1990,1990,1,2,18.2,109
EB,1990,1990,1,2,18.9,108
EB,1990,1990,1,2,19.3,108
WB,1990,1990,1,9,15.3,114
EB,1990,1990,1,9,14,111
WB,1990,1990,1,9,17.9,114
WB,1990,1990,1,16,17.4,112
WB,1990,1990,1,16,16.1,110
EB,1990,1990,1,16,16.6,112
EB,1990,1990,1,16,16.3,110
EB,1990,1990,1,23,32,108
WB,1990,1990,1,23,21.1,110
EB,1990,1990,1,23,21.1,107
WB,1990,1990,1,23,21.3,113
EB,1990,1990,1,26,29.9,104
WB,1990,1990,1,26,25.5,112
EB,1990,1990,1,26,32.2,104
WB,1990,1990,1,26,34.3,120
EB,1990,1990,1,26,34.8,102
WB,1990,1990,1,26,46,136
EB,1990,1990,1,26,33.5,101
WB,1990,1990,1,26,47.7,137
EB,1990,1990,1,26,34.3,102
WB,1990,1990,1,26,48.4,137
EB,1990,1990,1,26,33.2,102
WB,1990,1990,1,26,48.1,135
EB,1990,1990,1,27,32.6,105
