WY,Watershed,Area,H2O,NO3,SO4,NH4,N flux
1989,EB,10.9,106,182.8,1014,8,190.8
1990,EB,10.9,93,110.6,928,1.8,112.4
1991,EB,10.9,106,144.3,996,1.9,146.2
1992,EB,10.9,89,41.4,833,1.3,42.7
1993,EB,10.9,84,25.7,755,0.4,26.1
1994,EB,10.9,103,15.8,904,0.1,15.9
1995,EB,10.9,66,13.3,587,1.2,14.5
1996,EB,10.9,156,13.5,1212,5.7,19.2
1997,EB,10.9,100,26,829,0.3,26.3
1998,EB,10.9,105,7.6,864,1.3,8.8
1999,EB,10.9,96,35.6,799,6.8,42.4
2000,EB,10.9,114,15.3,894,7.2,22.5
2001,EB,10.9,54,4.4,439,0.8,5.2
2002,EB,10.9,76,7.5,615,2.8,10.3
2003,EB,10.9,90,6.4,711,0.5,6.9
2004,EB,10.9,118,2.9,911,,2.9
2005,EB,10.9,119,6.3,916,,6.3
2006,EB,10.9,144,9.4,1033,36.5,45.9
2007,EB,10.9,108,19.8,728,,19.8
2008,EB,10.9,130,6.6,825,11.7,18.3
2009,EB,10.9,155,1.8,1006,,1.8
2010,EB,10.9,109,0.1,679,,0.1
2011,EB,10.9,149,0.6,794,,0.6
2012,EB,10.9,130,11.3,712,,11.3
2013,EB,10.9,146,7.5,828,,7.5
2014,EB,10.9,91,5.8,454,,5.8
2015,EB,10.9,111,1.5,562,,
2016,EB,10.9,107,7.4,466,,
2017,EB,10.9,122,3.8,538,6.1,
2018,EB,10.9,123,1.9,569,13.3,
1989,WB,10.26,111,216,1177,7.9,223
1990,WB,10.26,94,185,1151,4.6,189
1991,WB,10.26,114,502,1549,8.6,510
1992,WB,10.26,90,373,1356,10.9,384
1993,WB,10.26,97,414,1416,26.7,440
1994,WB,10.26,115,409,2075,0.2,410
1995,WB,10.26,65,395,1193,8.5,404
1996,WB,10.26,132,443,2446,10.4,454
1997,WB,10.26,89,354,1562,10,364
1998,WB,10.26,115,444,2074,4.7,449
1999,WB,10.26,99,717,1737,27.4,745
2000,WB,10.26,103,450,1787,12,462
2001,WB,10.26,51,205,907,2,207
2002,WB,10.26,72,238,1355,6.7,245
2003,WB,10.26,87,132,1551,23.4,156
2004,WB,10.26,115,142,1991,35.2,177
2005,WB,10.26,114,313,1930,,313
2006,WB,10.26,159,487,2427,25.3,513
2007,WB,10.26,114,559,1699,28.2,588
2008,WB,10.26,131,483,2021,9.7,493
2009,WB,10.26,158,448,2349,,448
2010,WB,10.26,101,321,1485,,321
2011,WB,10.26,136,394,2030,,394
2012,WB,10.26,111,473,1631,,473
2013,WB,10.26,141,434,2081,,434
2014,WB,10.26,89,495,1305,,495
2015,WB,10.26,108,511,1363,,
2016,WB,10.26,106,315,1446,,
2017,WB,10.26,120,93,1598,10.3,
2018,WB,10.26,120,26,1347,18.2,
