Site,Watershed,ISCO Number,Record Type,Year,WY,Month,Day,Hour,Season,Julian Day,Running Day of Project,Ca flag,Ca (ueq/L),NMCa (ueq/L),Mg flag,Mg (ueq/L),NMMg (ueq/L),K flag,K (ueq/L),NMK (ueq/L),Na flag,Na (ueq/L),NMNa (ueq/L),Si flag,Si (mg/L),NH4 flag,NH4 (ueq/L),Al flag,Al (ppb),Al-Org flag,Al-Org (PPB),Total N flag,Total N (ppm),Cl flag,Cl (ueq/L),SO4 flag,SO4 (ueq/L),NMSO4 (ueq/L),NO3 flag,NO3 (ueq/L),DOC flag,DOC (mg/L),DIC flag,DIC (mg/L),ANC (ueq/L),Closed-cell pH,Air-equilibrated pH,Specific Conductance (us/cm),Discharge (L/sec),Initial pH,H+ (ueq/L),HCO3 (ueq/L),Unequilibrated pH (older samples),Apparent color flag,Apparent Color (PCU),True color flag,True color (PCU),Total P flag,Total P (ppb),Field Temp (degrees C),Comment,SUVA
EB3,EB,,REG,1986,1987,10,1,11,FALL,274,274,,,,,,,,,,,,,,,,,,,,,,,,76,,115,107,Half DL,0.05,,,,,,,,,,,,,,,,,,,,,,
WB3,WB,,REG,1986,1987,10,1,11,FALL,274,274,,,,,,,,,,,,,,,,,,,,,,,,79,,110,102,Half DL,0.05,,,,,,,,,,,,,,,,,,,,,,
EB3,EB,,DUP,1986,1987,11,13,11,FALL,317,317,,80,77,,27,14,,3.8,3,,80,20,,,,,,,,,,,,70,,112,105,,2,,,,,,,,,,,,,,,,,,,,,,
EB3,EB,,REG,1986,1987,11,13,11,FALL,317,317,,89,86,,30,16,,4.3,3,,85,21,,,,,,,,,,,,74,,117,109,Half DL,0.05,,,,,12.2,5.53,5.92,24.3,,,1.2,,,,,,,,,,,
WB3,WB,,REG,1986,1987,11,13,11,FALL,317,317,,101,98,,35,21,,6.4,5,,88,25,,,,,,,,,,,,73,,107,99,,3,,,,,33.4,6.03,6.65,,,,0.22,,,,,,,,,,,
EB3,EB,,REG,1986,1987,11,17,11,FALL,321,321,,99,97,,30,15,,5.1,4,,79,16,,,,,,,,,,,,73,,112,104,,2,,,,,25.6,6.06,6.24,23.4,,,0.58,,,,,,,,,,,
WB3,WB,,REG,1986,1987,11,17,11,FALL,321,321,,90,87,,34,19,,8.4,7,,94,29,,,,,,,,,,,,76,,107,99,,4,,,,,37.2,6.03,6.63,,,,0.23,,,,,,,,,,,
EB3,EB,,REG,1986,1987,11,25,11,FALL,329,329,,83,81,,28,16,,6.1,5,,70,19,,,,,,,,,,,,60,,105,99,,18,,,,,9,5.45,5.54,23.3,,,2.88,,,,6,,,,,,,
WB3,WB,,REG,1986,1987,11,25,11,FALL,329,329,,105,103,,35,23,,8.2,7,,74,21,,,,,,,,,,,,61,,113,107,,22,,,,,15.5,5.83,6,24.8,,,1,,,,8,,,,,,,
EB3,EB,,REG,1986,1987,12,2,11,WINTER,336,336,,,,,,,,,,,,,,,,,,,,,,,,60,,108,102,,11,,,,,13.4,5.69,,,,,,,,,,,,,,,,
