siteID,seas,yr,NH4,NO3,totalN,SO4
ME09,Fall,2001,0.306,1.511,0.579,2.277
ME09,Winter,2002,0.146,2.094,0.587,1.062
ME09,Spring,2002,0.601,3.045,1.155,3.189
ME09,Summer,2002,0.492,1.813,0.792,2.296
ME09,Fall,2002,0.399,2.591,0.895,2.634
ME09,Winter,2003,0.132,1.333,0.403,0.689
ME09,Spring,2003,0.383,2.274,0.812,2.077
ME09,Summer,2003,0.695,2.069,1.007,2.88
ME09,Fall,2003,0.286,2.349,0.753,2.726
ME09,Winter,2004,0.074,0.895,0.26,0.825
ME09,Spring,2004,0.408,2.266,0.829,2.518
ME09,Summer,2004,0.388,1.868,0.723,2.669
ME09,Fall,2004,0.08,0.761,0.234,1.11
ME09,Winter,2005,0.08,0.891,0.263,0.75
ME09,Spring,2005,0.42,1.673,0.704,2.222
ME09,Summer,2005,0.29,1.463,0.556,2.194
ME09,Fall,2005,0.355,2.261,0.787,3.631
ME09,Winter,2006,0.12,1.694,0.476,1.073
ME09,Spring,2006,0.266,1.707,0.592,2.33
ME09,Summer,2006,-9,-9,-9,-9
ME09,Fall,2006,0.174,1.326,0.434,1.444
ME09,Winter,2007,0.056,0.503,0.157,0.335
ME09,Spring,2007,0.244,1.588,0.548,1.493
ME09,Summer,2007,0.788,1.951,1.053,3.598
ME09,Fall,2007,0.509,1.937,0.833,3.095
ME09,Winter,2008,0.183,1.389,0.456,1.035
ME09,Spring,2008,0.339,1.48,0.598,1.519
ME09,Summer,2008,0.572,2.386,0.984,2.922
ME09,Fall,2008,0.187,1.158,0.407,1.418
ME09,Winter,2009,0.142,1.2,0.381,0.997
ME09,Spring,2009,0.293,1.25,0.51,1.109
ME09,Summer,2009,0.388,1.322,0.6,1.647
ME09,Fall,2009,0.228,0.881,0.376,0.852
ME09,Winter,2010,0.061,0.794,0.227,0.516
ME09,Spring,2010,0.186,0.72,0.307,0.749
ME09,Summer,2010,0.475,1.349,0.674,1.668
ME09,Fall,2010,0.364,1.461,0.613,1.643
ME09,Winter,2011,0.156,1.199,0.392,0.632
ME09,Spring,2011,0.732,2.548,1.144,2.299
ME09,Summer,2011,0.738,1.913,1.006,2.06
ME09,Fall,2011,0.502,1.325,0.689,1.864
ME09,Winter,2012,0.164,1.275,0.416,0.621
ME09,Spring,2012,0.637,1.908,0.926,1.495
ME09,Summer,2012,0.635,1.798,0.9,1.548
ME09,Fall,2012,0.245,0.952,0.405,1.07
ME09,Winter,2013,0.206,1.452,0.488,0.653
ME09,Spring,2013,0.322,1.119,0.503,0.895
ME09,Summer,2013,0.686,1.678,0.912,1.472
ME09,Fall,2013,0.215,0.966,0.385,0.659
ME09,Winter,2014,0.158,1.295,0.415,0.661
ME09,Spring,2014,0.481,1.474,0.706,1.135
ME09,Summer,2014,0.344,1.583,0.624,1.108
ME09,Fall,2014,0.341,1.274,0.553,1.108
ME09,Winter,2015,0.067,1.043,0.288,0.425
ME09,Spring,2015,0.444,1.326,0.644,0.834
ME09,Summer,2015,0.365,1.467,0.615,0.92
ME09,Fall,2015,0.17,0.604,0.269,0.468
ME09,Winter,2016,0.278,1.125,0.47,0.704
ME09,Spring,2016,0.359,1.134,0.536,0.63
ME09,Summer,2016,0.435,0.96,0.555,0.571
ME09,Fall,2016,0.167,0.563,0.257,0.313
ME09,Winter,2017,0.28,0.856,0.411,0.483
ME09,Spring,2017,0.475,1.235,0.648,0.787
ME09,Summer,2017,0.473,1.412,0.686,0.763
ME09,Fall,2017,0.358,0.854,0.471,0.53
ME09,Winter,2018,0.175,1.062,0.376,0.32
ME09,Spring,2018,0.438,1.244,0.622,0.654
ME09,Summer,2018,0.34,1.314,0.561,0.602
ME09,Fall,2018,0.355,1.051,0.513,0.919
