siteID,seas,yr,NH4,NO3,totalN,SO4
ME09,Fall,1979,-9,-9,-9,-9
ME09,Winter,1980,0.113,3.555,0.891,1.411
ME09,Spring,1980,0.154,1.446,0.446,2.385
ME09,Summer,1980,0.869,3.629,1.495,9.15
ME09,Fall,1980,0.271,2.868,0.859,4.113
ME09,Winter,1981,0.177,2.428,0.686,2.912
ME09,Spring,1981,0.313,1.709,0.629,3.18
ME09,Summer,1981,0.32,2.218,0.749,5.489
ME09,Fall,1981,0.321,2.405,0.793,4.928
ME09,Winter,1982,0.076,1.929,0.495,1.479
ME09,Spring,1982,0.275,1.693,0.596,3.146
ME09,Summer,1982,0.313,2.28,0.758,4.64
ME09,Fall,1982,0.428,2.446,0.885,4.508
ME09,Winter,1983,0.148,1.885,0.541,1.919
ME09,Spring,1983,0.384,2.554,0.876,4.395
ME09,Summer,1983,0.608,2.015,0.927,4.354
ME09,Fall,1983,0.525,1.645,0.78,4.076
ME09,Winter,1984,0.1,1.86,0.498,1.251
ME09,Spring,1984,0.413,3.05,1.01,4.477
ME09,Summer,1984,0.685,3.629,1.352,6.674
ME09,Fall,1984,0.22,1.354,0.477,2.292
ME09,Winter,1985,0.147,2.22,0.616,1.524
ME09,Spring,1985,0.516,2.845,1.043,3.982
ME09,Summer,1985,0.754,2.866,1.233,6.569
ME09,Fall,1985,0.038,0.724,0.193,1.867
ME09,Winter,1986,0.062,1.027,0.28,0.921
ME09,Spring,1986,0.713,3.063,1.246,4.722
ME09,Summer,1986,0.525,2.767,1.033,6.903
ME09,Fall,1986,0.17,1.336,0.434,2.535
ME09,Winter,1987,0.037,0.928,0.238,0.56
ME09,Spring,1987,0.229,1.144,0.437,2.348
ME09,Summer,1987,0.291,1.569,0.58,2.987
ME09,Fall,1987,0.099,1.828,0.49,2.602
ME09,Winter,1988,0.046,1.182,0.303,1.488
ME09,Spring,1988,0.056,1.4,0.36,2.033
ME09,Summer,1988,0.378,2.629,0.888,5.979
ME09,Fall,1988,0.256,2.374,0.735,4.212
ME09,Winter,1989,0.076,2.249,0.567,1.29
ME09,Spring,1989,0.234,2.932,0.844,3.598
ME09,Summer,1989,0.65,2.563,1.084,4.444
ME09,Fall,1989,0.43,2.799,0.966,3.767
ME09,Winter,1990,0.401,3.011,0.991,2.241
ME09,Spring,1990,0.648,2.683,1.11,3.658
ME09,Summer,1990,0.666,2.865,1.165,4.9
ME09,Fall,1990,0.273,2.359,0.745,2.884
ME09,Winter,1991,0.079,1.869,0.484,1.106
ME09,Spring,1991,0.489,2.484,0.941,4.14
ME09,Summer,1991,0.195,1.534,0.498,2.363
ME09,Fall,1991,0.181,1.71,0.527,2.537
ME09,Winter,1992,0.126,2.036,0.558,1.328
ME09,Spring,1992,0.171,1.136,0.389,1.81
ME09,Summer,1992,0.587,3.3,1.201,5.956
ME09,Fall,1992,0.191,1.895,0.577,2.365
ME09,Winter,1993,0.084,1.782,0.468,1.024
ME09,Spring,1993,0.535,3.418,1.188,3.788
ME09,Summer,1993,0.61,1.921,0.908,3.097
ME09,Fall,1993,0.335,2.631,0.855,3.627
ME09,Winter,1994,0.124,2.574,0.678,1.392
ME09,Spring,1994,0.612,3.19,1.196,3.742
ME09,Summer,1994,0.633,3.017,1.173,5.724
ME09,Fall,1994,0.288,2.339,0.752,2.564
ME09,Winter,1995,0.132,1.817,0.513,0.964
ME09,Spring,1995,0.256,2.026,0.657,1.882
ME09,Summer,1995,0.592,2.171,0.95,3.081
ME09,Fall,1995,0.269,2.39,0.749,2.755
ME09,Winter,1996,0.175,2.248,0.644,1.337
ME09,Spring,1996,0.254,2.33,0.723,2.13
ME09,Summer,1996,0.601,2.907,1.123,3.688
ME09,Fall,1996,0.167,1.265,0.416,1.307
ME09,Winter,1997,0.202,2.585,0.741,1.824
ME09,Spring,1997,0.421,3.199,1.049,2.878
ME09,Summer,1997,0.56,2.743,1.055,4.416
ME09,Fall,1997,0.214,1.796,0.572,1.712
ME09,Winter,1998,0.056,1.647,0.415,1.203
ME09,Spring,1998,0.21,2.067,0.63,1.988
ME09,Summer,1998,0.468,2.231,0.867,3.485
ME09,Fall,1998,0.297,2.259,0.741,2.626
ME09,Winter,1999,0.119,1.986,0.541,1.165
ME09,Spring,1999,0.235,1.545,0.531,1.629
ME09,Summer,1999,0.684,2.906,1.188,4.201
ME09,Fall,1999,0.306,2.162,0.726,2.369
ME09,Winter,2000,0.09,2.069,0.537,0.912
ME09,Spring,2000,0.476,2.983,1.044,3.287
ME09,Summer,2000,0.483,1.605,0.738,2.426
ME09,Fall,2000,0.161,1.285,0.415,1.503
ME09,Winter,2001,0.055,1.367,0.351,0.781
ME09,Spring,2001,0.132,0.941,0.315,0.932
ME09,Summer,2001,0.373,1.387,0.604,2.047
